Tree: ZdTree; AugType: WithoutBox; Split: MortonCurve; BDO: 6; Inba: 30; Coord: float; 
1.in 
# Insert
## 0.0001
median: (7658, 0.0012525)-> min: (49, 0.000984)-> max: (1030, 0.0102585)-> tot: 15.1962-> avg: 0.00151913
range query time: 
2 13939 1.420000e-04
2 10572 9.300000e-05
2 10123 9.400000e-05
2 68472 2.210000e-03
2 32902 4.650000e-04
2 24682 3.010000e-04
2 18147 2.280000e-04
2 12970 1.630000e-04
2 35570 4.760000e-04
2 33394 3.880000e-04
2 13151 1.500000e-04
2 10338 9.100000e-05
2 20243 1.910000e-04
2 19762 2.020000e-04
2 16708 1.830000e-04
2 11239 1.100000e-04
2 10565 1.040000e-04
2 537551 1.569600e-02
2 263040 8.826000e-03
2 17813 5.980000e-04
2 17158 1.630000e-04
2 15214 1.520000e-04
2 12381 1.090000e-04
2 12032 1.250000e-04
2 11625 1.350000e-04
2 11169 1.070000e-04
2 245227 6.652000e-03
2 144895 2.359000e-03
2 95143 1.287000e-03
2 37671 5.270000e-04
2 30262 3.400000e-04
2 18880 2.240000e-04
2 13479 1.400000e-04
2 11283 1.080000e-04
2 11382 1.470000e-04
2 57472 6.950000e-04
2 56418 7.270000e-04
2 55102 6.640000e-04
2 10022 1.300000e-04
2 45080 5.510000e-04
2 18726 2.160000e-04
2 15635 1.580000e-04
2 12056 1.210000e-04
2 26354 2.950000e-04
2 19650 2.280000e-04
2 15264 1.870000e-04
2 13201 1.400000e-04
2 11288 1.090000e-04
2 49752 6.560000e-04
2 44767 5.750000e-04


Tree: ZdTree; AugType: WithoutBox; Split: MortonCurve; BDO: 6; Inba: 30; Coord: float; 
2_sort_by_0.in 
# Insert
## 0.0001
median: (7122, 0.001102)-> min: (1945, 0.0009095)-> max: (1197, 0.01513)-> tot: 14.5698-> avg: 0.00145648
range query time: 
0 56 2.300000e-05
0 10 3.000000e-06
0 10 3.000000e-06
0 8 2.000000e-06
0 4 1.000000e-06
0 1 1.000000e-06
0 3 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 4 2.000000e-06
0 1 1.000000e-06
0 3 1.000000e-06
0 3 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 46 4.000000e-06
0 45 3.000000e-06
0 28 2.000000e-06
0 26 2.000000e-06
0 17 2.000000e-06
0 6 2.000000e-06
0 5 2.000000e-06
0 5 2.000000e-06
0 4 1.000000e-06
0 3 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 11 2.000000e-06
0 9 2.000000e-06
0 6 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 4 1.000000e-06
0 3 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 3 2.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 9 2.000000e-06
0 8 1.000000e-06
0 6 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 4 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 17 2.000000e-06
0 12 2.000000e-06
0 11 2.000000e-06
0 9 2.000000e-06
0 3 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 6 1.000000e-06
0 4 1.000000e-06
0 2 1.000000e-06
1 684 5.500000e-05
1 240 6.000000e-06
1 222 5.000000e-06
1 166 5.000000e-06
1 149 5.000000e-06
1 444 9.000000e-06
1 272 5.000000e-06
1 140 3.000000e-06
1 132 3.000000e-06
1 172 4.000000e-06
1 163 4.000000e-06
1 2976 1.570000e-04
1 669 1.700000e-05
1 225 6.000000e-06
1 189 6.000000e-06
1 136 4.000000e-06
1 444 1.100000e-05
1 106 7.000000e-06
1 338 1.100000e-05
1 272 1.000000e-05
1 218 1.000000e-05
1 174 7.000000e-06
1 122 8.000000e-06
1 119 7.000000e-06
1 101 6.000000e-06
1 2307 3.800000e-05
1 856 1.200000e-05
1 823 1.200000e-05
1 430 8.000000e-06
1 274 6.000000e-06
1 251 5.000000e-06
1 192 4.000000e-06
1 111 2.000000e-06
1 156 6.000000e-06
1 393 1.400000e-05
1 224 5.000000e-06
1 125 4.000000e-06
1 109 3.000000e-06
1 169 6.000000e-06
1 158 4.000000e-06
1 1451 2.300000e-05
1 406 7.000000e-06
1 328 6.000000e-06
1 137 3.000000e-06
1 191 5.000000e-06
1 115 4.000000e-06
1 1045 1.600000e-05
1 445 7.000000e-06
1 381 5.000000e-06
1 146 3.000000e-06
1 235 5.000000e-06
1 176 4.000000e-06
1 152 4.000000e-06
1 119 3.000000e-06
1 600 8.000000e-06
1 279 4.000000e-06
1 190 4.000000e-06
1 139 3.000000e-06
1 321 6.000000e-06
1 238 5.000000e-06
1 224 5.000000e-06
1 162 4.000000e-06
1 7198 3.260000e-04
1 5823 1.040000e-04
1 3102 4.000000e-05
1 475 1.500000e-05
1 313 1.100000e-05
1 169 6.000000e-06
1 144 5.000000e-06
1 143 4.000000e-06
1 162 1.200000e-05
1 148 1.100000e-05
1 127 1.000000e-05
1 2627 3.500000e-05
1 2540 3.100000e-05
1 387 6.000000e-06
1 190 3.000000e-06
1 116 2.000000e-06
1 197 4.000000e-06
1 137 3.000000e-06
1 124 3.000000e-06
1 116 3.000000e-06
1 2153 2.800000e-05
1 1552 2.800000e-05
1 411 7.000000e-06
1 192 4.000000e-06
1 121 4.000000e-06
1 219 5.000000e-06
1 108 4.000000e-06
1 105 3.000000e-06
1 111 3.000000e-06
1 108 2.000000e-06
1 1141 1.500000e-05
1 544 1.000000e-05
1 354 7.000000e-06
1 123 3.000000e-06
1 231 5.000000e-06
1 206 5.000000e-06
1 149 5.000000e-06
1 190 4.000000e-06
2 982317 3.690800e-02
2 416858 1.640900e-02
2 25192 1.008000e-03
2 17362 1.780000e-04
2 16678 1.460000e-04
2 391666 1.462600e-02
2 215348 3.310000e-03
2 30424 5.770000e-04
2 29250 5.390000e-04
2 26208 5.260000e-04
2 20660 4.130000e-04
2 19904 4.010000e-04
2 19753 2.660000e-04
2 12539 1.640000e-04
2 184924 2.517000e-03
2 168714 2.157000e-03
2 116001 1.587000e-03
2 21480 3.990000e-04
2 20579 3.430000e-04
2 10408 1.640000e-04
2 10171 1.720000e-04
2 94521 1.381000e-03
2 31258 7.180000e-04
2 20668 5.300000e-04
2 12181 3.560000e-04
2 10590 4.450000e-04
2 63263 9.340000e-04
2 32666 4.340000e-04
2 11819 2.580000e-04
2 11236 2.560000e-04
2 20847 3.300000e-04
2 13568 2.660000e-04
2 30597 4.600000e-04
2 27460 4.240000e-04
2 15817 2.810000e-04
2 14300 2.750000e-04
2 10203 1.970000e-04
2 11643 2.490000e-04
2 52713 8.620000e-04
2 35743 5.290000e-04
2 30668 5.230000e-04
2 15491 3.710000e-04
2 15177 3.440000e-04
2 14000 3.260000e-04
2 10478 2.310000e-04
2 16970 2.760000e-04
2 16909 2.650000e-04
2 15364 2.390000e-04
2 16210 5.160000e-04
2 13739 5.180000e-04
2 11758 4.960000e-04
2 176318 3.992000e-03
2 48309 1.384000e-03
2 43150 8.120000e-04
2 10076 1.760000e-04
2 33074 5.900000e-04
2 32739 5.470000e-04
2 23369 4.030000e-04
2 16533 3.730000e-04
2 13135 3.020000e-04
2 128009 2.729000e-03
2 53382 7.720000e-04
2 33755 3.940000e-04
2 24651 2.890000e-04
2 23972 3.160000e-04
2 23230 2.900000e-04
2 16753 2.250000e-04
2 13080 1.960000e-04
2 19627 2.560000e-04
2 11870 1.300000e-04
2 74627 1.075000e-03
2 58341 7.390000e-04
2 55505 7.280000e-04
2 50383 7.180000e-04
2 40568 5.270000e-04
