Tree: CPAM; AugType: HasBox; Split: HilbertCurve; BDO: 6; Inba: 30; Coord: integer; 
1.in 
# Insert
## 0.0001
median: (2337, 0.001816)-> min: (1672, 0.0014835)-> max: (4484, 0.0079235)-> tot: 18.816-> avg: 0.0018811
range query time: 
2 12308 1.300000e-04
2 10496 1.200000e-04
2 15171 1.880000e-04
2 11860 1.420000e-04
2 180321 7.970000e-04
2 100824 8.220000e-04
2 24139 3.360000e-04
2 15406 1.520000e-04
2 76685 5.960000e-04
2 52622 4.250000e-04
2 34179 2.550000e-04
2 15369 1.620000e-04
2 18810 1.850000e-04
2 18443 2.070000e-04
2 24063 2.410000e-04
2 19752 1.430000e-04
2 79497 9.730000e-04
2 31909 3.880000e-04
2 31444 3.080000e-04
2 27074 3.240000e-04
2 16361 2.060000e-04
2 10713 1.600000e-04
2 47588 6.380000e-04
2 14892 1.870000e-04
2 32696 3.670000e-04
2 17602 1.680000e-04
2 15094 1.500000e-04
2 381277 2.010000e-03
2 271070 2.305000e-03
2 171620 1.251000e-03
2 66274 4.280000e-04
2 52684 3.030000e-04
2 50194 2.890000e-04
2 40578 3.180000e-04
2 32307 2.120000e-04
2 25548 1.860000e-04
2 14100 1.490000e-04
2 11448 1.180000e-04
2 13590 1.340000e-04
2 105346 7.190000e-04
2 76448 5.640000e-04
2 30610 2.440000e-04
2 16119 1.410000e-04
2 14491 1.290000e-04
2 45838 3.230000e-04
2 34302 2.780000e-04
2 23429 1.840000e-04
2 11586 1.050000e-04
2 11843 1.190000e-04
2 10873 1.150000e-04
2 11536 1.240000e-04
2 28898 3.130000e-04
2 23907 2.330000e-04
2 14499 1.650000e-04
2 99450 8.140000e-04
2 96261 6.690000e-04
2 38082 3.310000e-04
2 12667 1.330000e-04
2 25415 2.110000e-04
2 21317 1.690000e-04
2 15669 1.380000e-04
2 58179 3.480000e-04
2 57463 3.370000e-04
2 15949 1.940000e-04
2 41514 2.640000e-04
2 40406 2.000000e-04
2 39867 2.290000e-04
2 15851 1.620000e-04
2 24016 1.370000e-04
2 22451 1.360000e-04
2 21130 1.210000e-04
2 14714 1.350000e-04
2 110207 1.912000e-03


Tree: CPAM; AugType: HasBox; Split: HilbertCurve; BDO: 6; Inba: 30; Coord: integer; 
2_sort_by_0.in 
# Insert
## 0.0001
median: (9048, 0.001858)-> min: (9186, 0.0014755)-> max: (3224, 0.008718)-> tot: 18.9722-> avg: 0.00189672
range query time: 
0 56 2.600000e-05
0 10 3.000000e-06
0 46 3.000000e-06
0 19 3.000000e-06
0 27 3.000000e-06
0 98 3.000000e-06
0 24 1.000000e-06
0 74 2.000000e-06
0 12 2.000000e-06
0 62 2.000000e-06
0 38 1.000000e-06
0 24 1.000000e-06
0 68 2.000000e-06
0 63 2.000000e-06
0 7 2.000000e-06
0 56 2.000000e-06
0 31 2.000000e-06
0 25 2.000000e-06
0 5 1.000000e-06
0 18 3.000000e-06
0 49 2.600000e-05
0 29 5.000000e-06
0 20 4.000000e-06
0 61 4.000000e-06
0 52 3.000000e-06
0 23 3.000000e-06
0 29 3.000000e-06
0 9 1.000000e-06
0 37 4.000000e-06
0 18 4.000000e-06
0 58 4.000000e-06
0 47 3.000000e-06
0 38 2.000000e-06
0 9 2.000000e-06
0 11 2.000000e-06
0 50 2.000000e-06
0 12 1.000000e-06
0 38 2.000000e-06
0 52 9.000000e-06
0 19 4.000000e-06
0 33 4.000000e-06
0 22 4.000000e-06
0 97 4.000000e-06
0 47 2.000000e-06
0 34 2.000000e-06
0 13 1.000000e-06
0 50 2.000000e-06
0 44 2.000000e-06
0 16 1.000000e-06
0 28 1.000000e-06
0 6 1.000000e-06
0 64 1.000000e-05
0 2 1.000000e-06
0 62 2.000000e-06
0 20 2.000000e-06
0 42 3.000000e-06
0 6 2.000000e-06
0 36 2.000000e-06
0 57 6.000000e-06
0 26 2.000000e-06
0 31 1.000000e-06
0 19 1.800000e-05
0 22 3.000000e-06
0 82 4.000000e-06
0 36 3.000000e-06
0 46 4.000000e-06
0 33 2.000000e-06
0 13 2.000000e-06
0 42 2.000000e-06
0 8 1.000000e-06
0 34 2.000000e-06
0 97 6.000000e-06
0 37 3.000000e-06
0 60 4.000000e-06
0 28 2.000000e-06
0 32 2.000000e-06
0 25 2.000000e-06
0 41 5.000000e-06
0 30 2.000000e-06
0 11 2.000000e-06
0 89 3.000000e-06
0 39 2.000000e-06
0 50 2.000000e-06
0 43 1.000000e-06
0 1 1.000000e-06
0 42 1.000000e-06
0 9 1.000000e-06
0 33 2.000000e-06
0 7 0.000000e+00
0 42 2.000000e-06
0 17 1.000000e-06
0 25 1.000000e-06
0 12 2.000000e-06
0 37 2.000000e-06
0 64 4.000000e-06
