Tree: KdTree; AugType: HasBox; Split: MaxStretchDim-ObjectMedian; BDO: 6; Inba: 30; Coord: integer; 
1.in 
# Insert
## 0.0001
median: (3099, 0.002612)-> min: (68, 0.0011325)-> max: (6558, 2.5135)-> tot: 52.7202-> avg: 0.00527152
range query time: 
2 27074 2.640000e-04
2 16361 2.390000e-04
2 10713 1.640000e-04
2 47588 7.100000e-04
2 14892 2.540000e-04
2 32696 4.410000e-04
2 17602 2.190000e-04
2 15094 1.890000e-04
2 381277 3.012000e-03
2 271070 2.887000e-03
2 171620 1.130000e-03
2 66274 2.890000e-04
2 52684 3.260000e-04
2 50194 3.640000e-04
2 40578 2.780000e-04
2 32307 2.180000e-04
2 25548 2.020000e-04
2 14100 1.740000e-04
2 11448 1.480000e-04
2 13590 1.390000e-04
2 105346 7.740000e-04
2 76448 6.790000e-04
2 30610 3.340000e-04
2 16119 1.630000e-04
2 14491 1.610000e-04
2 45838 4.330000e-04
2 34302 3.180000e-04
2 23429 2.360000e-04
2 11586 1.290000e-04
2 11843 1.200000e-04
2 10873 1.310000e-04
2 11536 1.330000e-04
2 28898 4.460000e-04
2 23907 2.950000e-04
2 14499 2.020000e-04
2 99450 9.530000e-04
2 96261 7.800000e-04
2 38082 3.210000e-04
2 12667 1.770000e-04
2 25415 2.110000e-04
2 21317 2.090000e-04
2 15669 1.590000e-04
2 58179 4.810000e-04
2 57463 3.730000e-04
2 15949 1.850000e-04
2 41514 3.770000e-04
2 40406 3.020000e-04
2 39867 3.200000e-04
2 15851 2.390000e-04
2 24016 2.000000e-04
2 22451 1.930000e-04
2 21130 1.850000e-04
2 14714 1.200000e-04
2 110207 2.396000e-03


Tree: KdTree; AugType: HasBox; Split: MaxStretchDim-ObjectMedian; BDO: 6; Inba: 30; Coord: integer; 
2_sort_by_0.in 
# Insert
## 0.0001
median: (3379, 0.003851)-> min: (1, 0.00073)-> max: (9277, 0.012883)-> tot: 39.3569-> avg: 0.00393519
range query time: 
0 56 1.900000e-05
0 10 2.000000e-06
0 46 2.000000e-06
0 19 2.000000e-06
0 27 2.000000e-06
0 98 1.300000e-05
0 24 1.000000e-06
0 74 2.000000e-06
0 12 1.000000e-06
0 62 2.000000e-06
0 38 2.000000e-06
0 24 2.000000e-06
0 68 5.000000e-06
0 63 2.000000e-06
0 7 1.000000e-06
0 56 2.000000e-06
0 31 1.000000e-06
0 25 2.000000e-06
0 5 1.000000e-06
0 18 2.000000e-06
0 49 2.300000e-05
0 29 3.000000e-06
0 20 3.000000e-06
0 61 3.000000e-06
0 52 2.000000e-06
0 23 2.000000e-06
