Tree: OrthTree; AugType: HasBox; Split: RotateDim-SpatialMedian; BDO: 6; Inba: 30; Coord: integer; 
1.in 
# Insert
## 0.0001
median: (1721, 0.002425)-> min: (9999, 0.0011205)-> max: (4245, 0.009862)-> tot: 24.8585-> avg: 0.00248535
range query time: 
0 61 5.000000e-06
0 52 4.000000e-06
0 23 3.000000e-06
0 29 5.000000e-06
0 9 1.000000e-06
0 37 5.000000e-06
0 18 5.000000e-06
0 58 3.000000e-06
0 47 3.000000e-06
0 38 3.000000e-06
0 9 2.000000e-06
0 11 2.000000e-06
0 50 3.000000e-06
0 12 1.000000e-06
0 38 3.000000e-06
0 52 1.600000e-05
0 19 5.000000e-06
0 33 4.000000e-06
0 22 4.000000e-06
0 97 7.000000e-06
0 47 2.000000e-06
0 34 1.000000e-06
0 13 2.000000e-06
0 50 3.000000e-06
0 44 2.000000e-06
0 16 1.000000e-06
0 28 2.000000e-06
0 6 1.000000e-06
0 64 9.000000e-06
0 2 1.000000e-06
0 62 2.000000e-06
0 20 2.000000e-06
0 42 2.000000e-06
0 6 2.000000e-06
0 36 3.000000e-06
0 57 1.000000e-05
0 26 1.000000e-06
0 31 2.000000e-06
0 19 1.400000e-05
0 22 4.000000e-06
0 82 4.000000e-06
0 36 3.000000e-06
0 46 4.000000e-06
0 33 4.000000e-06
0 13 1.000000e-06
0 42 5.000000e-06
0 8 2.000000e-06
0 34 2.000000e-06
0 97 7.000000e-06
0 37 1.000000e-06
0 60 3.000000e-06
0 28 1.000000e-06
0 32 2.000000e-06
0 25 2.000000e-06
0 41 4.000000e-06
0 30 1.000000e-06
0 11 1.000000e-06
0 89 6.000000e-06
0 39 2.000000e-06
0 50 2.000000e-06
0 43 1.000000e-06
0 1 0.000000e+00
0 42 1.000000e-06
0 9 0.000000e+00
0 33 1.000000e-06
0 7 1.000000e-06
0 42 1.000000e-06
0 17 0.000000e+00
0 25 0.000000e+00
0 12 2.000000e-06
0 37 3.000000e-06
0 64 4.000000e-06
0 32 2.000000e-06
0 32 1.000000e-06
0 65 3.000000e-06
0 54 1.000000e-06
0 36 1.000000e-06
1 684 1.600000e-05
1 8644 2.980000e-04
1 6569 8.400000e-05
1 5961 4.800000e-05
1 3013 2.700000e-05
1 2919 3.800000e-05
1 1235 1.500000e-05
1 164 5.000000e-06
1 1071 1.100000e-05
1 1060 1.000000e-05
1 808 1.000000e-05
1 252 5.000000e-06
1 1684 1.600000e-05
1 1683 1.400000e-05
1 1225 1.200000e-05
1 1043 1.100000e-05
1 584 8.000000e-06
1 459 7.000000e-06
1 182 7.000000e-06
1 458 6.000000e-06
1 2948 4.500000e-05
1 2464 2.300000e-05
1 2241 1.800000e-05
1 160 8.000000e-06
1 2081 2.000000e-05
1 1013 9.000000e-06
1 949 7.000000e-06
1 1068 9.000000e-06
1 979 7.000000e-06
1 223 4.000000e-06
1 484 9.000000e-06
1 608 2.200000e-05
1 2075 5.200000e-05
1 1127 1.600000e-05
1 569 9.000000e-06
1 558 1.100000e-05
1 948 1.400000e-05
1 8034 2.870000e-04
1 2962 3.300000e-05
1 1182 1.400000e-05
1 647 8.000000e-06
1 535 8.000000e-06
1 1780 1.700000e-05
1 1698 1.800000e-05
1 1666 1.500000e-05
1 1352 1.400000e-05
1 858 1.200000e-05
1 494 1.700000e-05
1 314 7.000000e-06
1 5072 7.700000e-05
1 952 1.500000e-05
1 4120 5.000000e-05
1 2229 2.100000e-05
1 206 7.000000e-06
1 2023 2.000000e-05
1 1972 1.700000e-05
1 1444 1.100000e-05
1 519 5.000000e-06
1 925 8.000000e-06
1 528 5.000000e-06
1 1891 1.600000e-05
1 1409 1.300000e-05
1 1218 1.400000e-05
1 801 1.000000e-05
1 417 7.000000e-06
1 191 7.000000e-06
1 482 7.000000e-06
1 7830 2.980000e-04
1 992 2.100000e-05
1 6838 7.200000e-05
1 5228 4.800000e-05
1 1438 1.800000e-05
1 324 5.000000e-06
1 1114 1.700000e-05
1 465 1.300000e-05
1 649 1.300000e-05
1 3790 3.500000e-05
1 460 1.400000e-05
1 3330 4.900000e-05
1 2560 3.400000e-05
1 1391 1.300000e-05
1 885 9.000000e-06
1 506 7.000000e-06
1 1169 1.300000e-05
1 1131 1.200000e-05
1 1082 1.100000e-05
1 893 1.100000e-05
1 189 5.000000e-06
1 770 1.500000e-05
1 1610 4.200000e-05
1 1376 2.300000e-05
1 394 1.100000e-05
1 982 1.700000e-05
1 234 1.200000e-05
1 7619 3.270000e-04
1 3530 5.100000e-05
1 2089 2.200000e-05
1 653 6.000000e-06
1 1436 1.300000e-05
1 1421 1.400000e-05
2 982317 2.226500e-02
2 416858 9.432000e-03
2 25192 6.450000e-04
2 17362 2.310000e-04
2 391666 8.047000e-03
2 157265 2.072000e-03
2 157189 2.070000e-03
2 74516 1.183000e-03
2 71570 1.012000e-03
2 50665 9.010000e-04
2 48494 7.540000e-04
2 40516 6.260000e-04
2 38748 6.360000e-04
2 34020 6.400000e-04
2 17768 2.900000e-04
2 16252 2.560000e-04
2 20905 3.990000e-04
2 13233 2.270000e-04
2 82673 1.001000e-03
2 60535 8.840000e-04
2 55701 9.230000e-04
2 55076 9.110000e-04
2 15246 4.430000e-04
2 39830 7.510000e-04
2 30703 5.390000e-04
2 13164 4.080000e-04
2 17539 3.460000e-04
2 22138 4.180000e-04
2 16194 2.830000e-04
2 234401 3.330000e-03
2 168291 3.018000e-03
2 63853 1.213000e-03
2 30219 7.950000e-04
2 25353 6.390000e-04
2 11348 4.480000e-04
2 14005 5.100000e-04
2 33634 8.990000e-04
2 29566 7.930000e-04
2 25284 6.430000e-04
2 20941 5.570000e-04
2 19617 4.820000e-04
2 104438 1.283000e-03
2 50901 8.270000e-04
2 17896 2.760000e-04
2 33005 5.360000e-04
2 23640 4.870000e-04
2 12658 3.090000e-04
2 10982 3.610000e-04
2 53537 8.350000e-04
2 22557 5.900000e-04
2 13731 3.280000e-04
2 30980 5.450000e-04
2 19380 3.480000e-04
2 11600 2.160000e-04
2 66110 1.445000e-03
2 10685 1.850000e-04
2 55425 8.840000e-04
2 10279 1.480000e-04
2 45146 6.280000e-04
2 38408 5.740000e-04
2 34766 4.990000e-04
2 17276 3.490000e-04
2 17490 3.480000e-04
2 565459 1.436800e-02
2 500814 1.137800e-02
2 132666 2.263000e-03
2 73512 9.410000e-04
2 51295 6.040000e-04
2 27780 3.460000e-04
2 19790 2.120000e-04
2 23515 2.720000e-04
2 21681 2.580000e-04
2 17243 2.220000e-04
2 22217 2.510000e-04
2 21301 2.690000e-04
2 17912 2.400000e-04
2 59154 9.760000e-04
2 28159 3.920000e-04
2 21953 2.960000e-04
2 10681 1.490000e-04
2 11272 1.540000e-04
2 30995 4.230000e-04
2 12096 1.700000e-04
2 18899 2.520000e-04
2 368148 6.194000e-03
2 165859 2.745000e-03
2 127035 1.721000e-03
2 57245 7.440000e-04
2 51805 6.950000e-04
2 48436 6.680000e-04
2 32935 4.760000e-04
2 30096 4.340000e-04
2 14671 2.300000e-04
2 15425 2.690000e-04
2 15501 1.980000e-04
2 69790 8.060000e-04
2 67522 7.540000e-04
2 55205 6.410000e-04
2 42084 4.830000e-04
2 20561 2.590000e-04


Tree: OrthTree; AugType: HasBox; Split: RotateDim-SpatialMedian; BDO: 6; Inba: 30; Coord: integer; 
2.in 
# Insert
## 0.0001
median: (5272, 0.003163)-> min: (0, 0.000555)-> max: (1692, 0.007207)-> tot: 29.3896-> avg: 0.00293846
range query time: 
0 41 8.000000e-06
0 33 1.000000e-06
0 8 1.000000e-06
0 70 4.000000e-06
0 60 1.000000e-06
0 20 1.000000e-06
0 40 2.000000e-06
0 14 1.000000e-06
0 26 1.000000e-06
0 10 1.000000e-06
0 9 2.000000e-06
0 74 1.200000e-05
0 72 3.000000e-06
0 15 1.000000e-06
0 57 2.000000e-06
0 32 2.000000e-06
0 25 3.000000e-06
0 2 2.000000e-06
0 61 9.000000e-06
0 33 3.000000e-06
0 28 3.000000e-06
0 59 1.300000e-05
0 31 3.000000e-06
0 28 2.000000e-06
0 85 3.000000e-06
0 63 3.000000e-06
0 32 2.000000e-06
0 31 2.000000e-06
0 22 2.000000e-06
0 16 3.000000e-06
0 20 4.000000e-06
0 77 1.000000e-05
0 10 1.000000e-06
0 67 3.000000e-06
0 22 1.000000e-06
0 45 2.000000e-06
0 18 2.000000e-06
0 27 2.000000e-06
0 26 4.000000e-06
0 27 3.000000e-06
0 47 3.000000e-06
0 3 1.000000e-06
0 44 2.000000e-06
0 1 1.000000e-06
0 43 1.000000e-06
0 25 1.000000e-06
0 18 1.000000e-06
0 31 3.000000e-06
0 43 6.000000e-06
0 28 1.000000e-06
0 15 1.000000e-06
0 70 7.000000e-06
0 16 2.000000e-06
0 54 2.000000e-06
0 25 1.000000e-06
0 29 2.000000e-06
0 66 7.000000e-06
0 47 2.000000e-06
0 17 2.000000e-06
0 30 2.000000e-06
0 19 2.000000e-06
0 43 3.000000e-06
0 11 1.000000e-06
0 32 2.000000e-06
0 89 9.000000e-06
0 48 2.000000e-06
0 13 1.000000e-06
0 35 1.000000e-06
0 41 2.000000e-06
0 3 1.000000e-06
0 38 1.000000e-06
0 39 4.000000e-06
0 52 8.000000e-06
0 14 2.000000e-06
0 38 2.000000e-06
0 25 2.000000e-06
0 17 3.000000e-06
0 85 8.000000e-06
0 77 2.000000e-06
0 71 2.000000e-06
0 47 2.000000e-06
0 17 1.000000e-06
0 30 1.000000e-06
0 24 2.000000e-06
0 6 1.000000e-06
0 8 1.000000e-06
0 47 2.000000e-06
0 26 1.000000e-06
0 21 1.000000e-06
0 45 7.000000e-06
0 23 1.000000e-06
0 22 1.000000e-06
0 65 1.200000e-05
0 64 3.000000e-06
0 8 2.000000e-06
0 56 3.000000e-06
0 24 1.000000e-06
0 32 2.000000e-06
0 1 1.000000e-06
0 32 3.000000e-06
1 1329 1.300000e-05
1 120 2.000000e-06
1 1209 1.200000e-05
1 1207 1.400000e-05
1 264 6.000000e-06
1 943 1.000000e-05
1 7174 4.460000e-04
1 6187 9.800000e-05
1 5202 6.700000e-05
1 4632 5.800000e-05
1 4102 4.600000e-05
1 3159 3.300000e-05
1 3001 2.900000e-05
1 291 1.700000e-05
1 2710 3.800000e-05
1 1041 2.300000e-05
1 566 2.500000e-05
1 475 2.200000e-05
1 1669 3.200000e-05
1 182 4.000000e-06
1 1487 2.400000e-05
1 910 2.800000e-05
1 577 1.900000e-05
1 158 3.000000e-05
1 943 3.000000e-05
1 530 2.100000e-05
1 570 2.400000e-05
1 985 3.500000e-05
1 987 8.500000e-05
1 4052 2.650000e-04
1 4042 7.700000e-05
1 3507 4.900000e-05
1 990 2.600000e-05
1 2517 4.300000e-05
1 752 1.400000e-05
1 1765 2.900000e-05
1 968 2.700000e-05
1 797 2.800000e-05
1 535 1.100000e-05
1 8068 4.190000e-04
1 698 5.100000e-05
1 7370 1.490000e-04
1 4308 7.800000e-05
