benchmark,solver,type,size,time
Uniform_by_x,PTree-H,1,459,9.000000e-06
Uniform_by_x,PTree-H,1,182,7.000000e-06
Uniform_by_x,PTree-H,1,458,8.000000e-06
Uniform_by_x,PTree-H,1,2948,3.600000e-05
Uniform_by_x,PTree-H,1,2464,3.100000e-05
Uniform_by_x,PTree-H,1,2241,2.400000e-05
Uniform_by_x,PTree-H,1,160,7.000000e-06
Uniform_by_x,PTree-H,1,2081,2.000000e-05
Uniform_by_x,PTree-H,1,1013,1.000000e-05
Uniform_by_x,PTree-H,1,949,9.000000e-06
Uniform_by_x,PTree-H,1,1068,1.200000e-05
Uniform_by_x,PTree-H,1,979,1.100000e-05
Uniform_by_x,PTree-H,1,223,7.000000e-06
Uniform_by_x,PTree-H,1,484,1.200000e-05
Uniform_by_x,PTree-H,1,608,1.400000e-05
Uniform_by_x,PTree-H,1,2075,2.700000e-05
Uniform_by_x,PTree-H,1,1127,1.500000e-05
Uniform_by_x,PTree-H,1,569,1.100000e-05
Uniform_by_x,PTree-H,1,558,1.100000e-05
Uniform_by_x,PTree-H,1,948,1.800000e-05
Uniform_by_x,PTree-H,1,8034,1.680000e-04
Uniform_by_x,PTree-H,1,2962,4.000000e-05
Uniform_by_x,PTree-H,1,1182,1.500000e-05
Uniform_by_x,PTree-H,1,647,8.000000e-06
Uniform_by_x,PTree-H,1,535,7.000000e-06
Uniform_by_x,PTree-H,1,1780,2.000000e-05
Uniform_by_x,PTree-H,1,1698,2.000000e-05
Uniform_by_x,PTree-H,1,1666,1.500000e-05
Uniform_by_x,PTree-H,1,1352,1.500000e-05
Uniform_by_x,PTree-H,1,858,1.300000e-05
Uniform_by_x,PTree-H,1,494,9.000000e-06
Uniform_by_x,PTree-H,1,314,8.000000e-06
Uniform_by_x,PTree-H,1,5072,6.900000e-05
Uniform_by_x,PTree-H,1,952,1.400000e-05
Uniform_by_x,PTree-H,1,4120,4.000000e-05
Uniform_by_x,PTree-H,1,2229,2.900000e-05
Uniform_by_x,PTree-H,1,206,7.000000e-06
