benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Varden,PTree-H,0.01,0.0578123,0.0532293,0.0267003,0.071539,5.32298,0.675585,1.8952,8.4479,0.485919,1.27272,5.61422,4.28861,9.00249,21.4155,4.19035,8.4077,20.1647,0.00105833,0.008905,0.848927,0.00102867,0.014401,1.97209
Varden,PTree-H,0.001,0.00716033,0.00666054,0.00335967,0.0110123,6.66105,0.666719,1.87265,8.28618,0.477299,1.26645,5.61028,4.31544,9.09819,21.7036,4.22297,8.50531,20.423,0.00102633,0.00898533,0.833361,0.00105167,0.0142903,1.96554
Varden,PTree-H,0.0001,0.001168,0.00113259,0.000622667,0.00503533,11.3309,0.665065,1.87056,8.25896,0.480834,1.29496,5.66797,4.28829,9.03907,21.5589,4.19414,8.42286,20.2572,0.001031,0.00889933,0.835894,0.00107867,0.0140647,1.9782
Varden,KdTree,1.0,7.40687,7.40687,7.40687,7.40687,7.40687,0.0473757,0.156604,0.793359,0.0670717,0.158185,0.828139,0.265081,0.895506,2.97685,0.43881,0.897431,2.965,0.000784333,0.00777867,0.602648,0.000852,0.011439,1.72925
Varden,KdTree,0.1,0.671799,0.620269,0.0704963,0.802847,6.2027,0.05027,0.159019,0.791371,0.0681037,0.163299,0.879015,0.274672,0.899582,3.00193,0.43374,0.89271,3.01999,0.000827,0.00893833,0.610426,0.00116433,0.0114033,1.69224
Varden,KdTree,0.01,0.082652,0.0893712,0.006314,0.438978,8.93717,0.050203,0.1594,0.791988,0.067774,0.163489,0.863672,0.27627,0.900918,3.00426,0.433768,0.892599,3.02244,0.000812333,0.008873,0.60826,0.000874667,0.01177,1.68963
Varden,KdTree,0.001,0.0105563,0.0120475,0.000362667,0.382783,12.048,0.0497337,0.15951,0.791682,0.0676373,0.163824,0.88026,0.278934,0.900856,3.0043,0.434392,0.893942,3.02275,0.00108967,0.008927,0.607783,0.00118433,0.011984,1.71091
Varden,KdTree,0.0001,0.00197,0.00237099,7.26667e-05,0.403569,23.7149,0.0501463,0.159637,0.791982,0.0684077,0.163639,0.866853,0.274866,0.899127,2.9993,0.434284,0.893005,3.02015,0.001646,0.00936467,0.612746,0.001156,0.0114693,1.68671
Varden,OrthTree,1.0,7.81518,7.81518,7.81518,7.81518,7.81518,0.109719,0.255078,0.926364,0.110537,0.214219,0.943683,0.320116,0.876161,2.8681,0.446761,0.861067,2.7938,0.001306,0.0102257,0.555094,0.000872333,0.0134517,1.8354
Varden,OrthTree,0.1,0.663014,0.603761,0.196572,0.74385,6.03761,0.113414,0.261939,0.94845,0.114733,0.234759,1.04599,0.342986,0.949486,3.13971,0.485945,0.948774,3.151,0.00132567,0.0119,0.648428,0.001167,0.0138377,1.84008
