benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Uniform,PTree,0.1,0.392556,0.388309,0.305937,0.44746,3.88309,1.89201,2.80075,5.60711,1.94093,2.83489,5.61596,1.90117,2.82174,5.62532,1.95486,2.83637,5.63939
Uniform,PTree,0.01,0.060039,0.0597088,0.0313703,0.075732,5.97093,1.89035,2.80324,5.60953,1.94043,2.82388,5.62205,1.90263,2.82178,5.62899,1.95544,2.83726,5.64325
Uniform,PTree,0.001,0.0135367,0.0127803,0.00413,0.017214,12.7808,1.87869,2.78952,5.59011,1.92888,2.80931,5.59977,1.89116,2.80806,5.6093,1.94388,2.82272,5.62235
Uniform,PTree,0.0001,0.00274667,0.00262953,0.000788,0.00592033,26.3004,1.89288,2.82856,5.67981,1.94367,2.84791,5.69008,1.90666,2.84674,5.70005,1.95777,2.8618,5.71222
Uniform,KdTree,1.0,3.63713,3.63713,3.63713,3.63713,3.63714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,KdTree,0.1,0.489114,0.4639,0.30884,0.598193,4.639,0.232865,0.418672,1.35287,0.266176,0.413751,1.32075,0.231445,0.402354,1.30001,0.266004,0.409932,1.28962
Uniform,KdTree,0.01,0.113367,0.105942,0.0371507,0.1394,10.5943,0.231851,0.430721,1.37518,0.267138,0.41556,1.32734,0.233114,0.404415,1.30594,0.267826,0.411351,1.29893
Uniform,KdTree,0.001,0.0221843,0.0208884,0.003956,0.026631,20.8889,0.232363,0.432569,1.3778,0.26759,0.416419,1.32927,0.234861,0.405997,1.30909,0.269318,0.4127,1.3019
Uniform,KdTree,0.0001,0.00512133,0.0048972,0.000810333,0.006077,48.977,0.231951,0.432858,1.37829,0.268176,0.41684,1.3306,0.23505,0.406169,1.30912,0.26988,0.413307,1.30319
Uniform,OrthTree,1.0,3.11677,3.11677,3.11677,3.11677,3.11678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,OrthTree,0.1,0.505307,0.42943,0.269602,0.527754,4.2943,0.217195,0.382005,1.25989,0.2419,0.380872,1.23999,0.214091,0.371116,1.22708,0.242706,0.377883,1.21902
Uniform,OrthTree,0.01,0.117644,0.101521,0.03252,0.126416,10.1521,0.217602,0.384184,1.26774,0.242638,0.382759,1.24796,0.214621,0.372504,1.23353,0.243139,0.379232,1.22501
Uniform,OrthTree,0.001,0.0218847,0.019714,0.00315433,0.024271,19.7145,0.217011,0.382867,1.26708,0.242659,0.382519,1.24702,0.215009,0.372698,1.23374,0.243296,0.379334,1.22478
Uniform,OrthTree,0.0001,0.003147,0.0029376,0.000612,0.00512,29.381,0.216672,0.382432,1.26622,0.242761,0.382773,1.24684,0.215005,0.372738,1.23381,0.243616,0.379598,1.2256
