benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Uniform_by_x,CPAM-H,1.0,10.3458,10.3458,10.3458,10.3458,10.3458,0.650841,1.16362,3.04592,0.271236,0.764826,2.8219,1.48971,2.72825,6.4736,0.27825,0.712577,2.60362,0.000578667,0.005323,0.215989,0.000639,0.0109337,1.42714
Uniform_by_x,CPAM-H,0.1,1.35992,1.35386,1.22507,1.41599,13.5386,0.580618,1.0829,3.18695,0.28246,0.761804,2.67721,1.48222,2.68298,6.57565,0.290625,0.706203,2.45443,0.000542667,0.00638667,0.216629,0.000614,0.0111733,1.42993
Uniform_by_x,CPAM-H,0.01,0.102071,0.102483,0.0875373,0.125935,10.2484,0.649581,1.06668,2.73238,0.26319,0.744038,2.56282,1.34951,2.41062,6.10023,0.271962,0.685733,2.30816,0.000864333,0.00576333,0.228208,0.000644,0.0116797,1.45957
Uniform_by_x,CPAM-H,0.001,0.00814733,0.00828617,0.00755067,0.0134747,8.28666,0.598049,1.08682,3.05948,0.28385,0.771896,2.64615,1.4075,2.5549,6.65005,0.289115,0.691287,2.37784,0.000536333,0.00604167,0.224222,0.000557,0.0118237,1.50573
Uniform_by_x,CPAM-H,0.0001,0.00191233,0.00194233,0.00152433,0.00621933,19.4283,0.667108,1.19073,3.34417,0.306716,0.811851,2.69449,1.49725,2.71029,6.92807,0.312109,0.745768,2.41538,0.000552667,0.006094,0.227013,0.000570667,0.0116817,1.48449
Uniform_by_x,CPAM-Z,1.0,9.81176,9.81176,9.81176,9.81176,9.81176,1.35474,2.62321,5.95258,0.343808,1.03555,4.10897,4.5814,11.4119,26.3915,0.362713,0.971407,3.74598,0.000760333,0.00690533,0.292451,0.000759333,0.0120573,1.46786
Uniform_by_x,CPAM-Z,0.1,1.32304,1.31124,1.24752,1.39827,13.1124,1.37343,2.77368,6.59279,0.349916,1.05166,4.12984,4.85638,12.2863,29.0389,0.37144,0.991903,3.80478,0.000781667,0.00699933,0.290344,0.000773,0.012575,1.46135
Uniform_by_x,CPAM-Z,0.01,0.09893,0.0995496,0.0820143,0.121843,9.95501,1.56122,2.83704,6.25871,0.364692,1.09999,4.06252,4.86379,11.513,27.2199,0.385327,1.04091,3.63797,0.000901667,0.00753767,0.308383,0.000831667,0.012585,1.50448
Uniform_by_x,CPAM-Z,0.001,0.00790167,0.008037,0.00724533,0.013007,8.03751,1.46984,2.66784,6.051,0.419747,1.21898,4.38654,4.90968,10.8567,26.2351,0.458458,1.16043,3.95754,0.000928333,0.00808733,0.304037,0.000859333,0.0127,1.55269
Uniform_by_x,CPAM-Z,0.0001,0.00202233,0.00204264,0.00151233,0.006439,20.4314,1.43341,2.50011,5.64479,0.448708,1.21361,4.46938,4.83141,10.9378,26.7292,0.475135,1.18009,4.03682,0.000937,0.00804233,0.308643,0.000901,0.012767,1.52705
Uniform_by_x,KdTree,1.0,5.15728,5.15728,5.15728,5.15728,5.15728,0.118317,0.243248,0.992297,0.0976993,0.435053,2.09131,0.22414,0.398076,1.30674,0.0989607,0.380028,1.76989,0.000383667,0.00459233,0.0932553,0.000456333,0.00774367,1.1071
Uniform_by_x,KdTree,0.1,1.39454,1.37388,0.379797,3.13196,13.7388,0.120532,0.256409,1.02412,0.105409,0.466269,2.21479,0.232204,0.410808,1.33595,0.105007,0.407117,1.86653,0.000338333,0.00479,0.0975263,0.000435,0.00794833,1.07663
Uniform_by_x,KdTree,0.01,0.229033,0.239733,0.0490087,0.50244,23.9734,0.124522,0.25554,1.03125,0.125984,0.510793,2.30438,0.234146,0.415752,1.34102,0.124052,0.438005,1.95023,0.000932667,0.00483767,0.097069,0.000480333,0.00799367,1.06672
Uniform_by_x,KdTree,0.001,0.0363383,0.0358356,0.004097,0.061028,35.8361,0.134183,0.273582,1.04465,0.155432,0.719195,2.97769,0.233484,0.418221,1.35638,0.15312,0.614969,2.47562,0.00117267,0.00484167,0.0986963,0.000512667,0.00777433,1.06306
Uniform_by_x,KdTree,0.0001,0.003904,0.00399138,0.000874667,0.0105353,39.9188,0.149903,0.331408,1.41218,0.163266,1.61081,8.54193,0.235131,0.489631,1.77961,0.166832,1.48482,6.99026,0.00114367,0.00409967,0.108039,0.000464,0.007356,1.08503
Uniform_by_x,OrthTree,1.0,4.63208,4.63208,4.63208,4.63208,4.63208,0.0987617,0.220373,0.958692,0.101728,0.37304,1.64146,0.203815,0.369071,1.29829,0.101075,0.324564,1.39431,0.000382333,0.006482,0.097919,0.000457667,0.00950233,1.21666
Uniform_by_x,OrthTree,0.1,0.552143,0.528538,0.45287,0.58998,5.28539,0.104259,0.211576,0.940871,0.0377223,0.322236,2.21587,0.198423,0.34604,1.24238,0.0514703,0.335632,1.99808,0.000382667,0.005062,0.073045,0.000463,0.008728,1.15495
Uniform_by_x,OrthTree,0.01,0.0562527,0.056669,0.0482593,0.0835457,5.66695,0.108659,0.21835,0.955553,0.0392847,0.329318,2.25441,0.204209,0.352078,1.2531,0.0507167,0.342902,2.02907,0.000383667,0.0052,0.0729647,0.000431667,0.00808,1.07786
Uniform_by_x,OrthTree,0.001,0.005627,0.00572028,0.00454367,0.00869133,5.72078,0.109131,0.221196,0.968256,0.0382603,0.331805,2.26371,0.20701,0.35664,1.2595,0.0509833,0.345641,2.04219,0.000400333,0.00507,0.0737993,0.000431667,0.008219,1.05577
Uniform_by_x,OrthTree,0.0001,0.000925667,0.000939922,0.000747667,0.00464533,9.40421,0.109256,0.226893,0.960103,0.0392467,0.33256,2.29525,0.207716,0.352723,1.22703,0.051064,0.34715,2.07122,0.000388667,0.005222,0.0739563,0.000440667,0.00805633,1.01189
Varden,PTree-H,1.0,3.08969,3.08969,3.08969,3.08969,3.08969,0.505931,2.23753,13.3071,0.283858,0.565426,3.57708,1.29248,2.69576,8.71075,0.183445,0.391301,2.50004,0.000522,0.002169,0.10337,0.000707,0.00845733,1.15022
Varden,PTree-H,0.1,0.271016,0.270701,0.267381,0.273952,2.70701,0.533919,2.16685,14.3231,0.291546,0.528225,3.66736,1.26855,2.64199,9.0516,0.19817,0.469465,3.67629,0.000505333,0.00231567,0.105366,0.000669,0.008581,1.18572
Varden,PTree-H,0.01,0.029392,0.0295444,0.0276583,0.0332027,2.95449,0.490707,1.46158,10.7587,0.199105,0.408175,2.41039,1.39567,2.83774,9.20463,0.271771,0.661942,4.13915,0.000554667,0.00239267,0.10446,0.000780333,0.00875467,1.20393
Varden,PTree-H,0.001,0.00411233,0.00417602,0.00356433,0.009092,4.17652,0.483216,1.85641,12.0215,0.299284,0.580064,3.7423,1.42186,2.90375,8.93253,0.191051,0.498197,3.6164,0.000588,0.00247733,0.107066,0.00081,0.009229,1.22949
Varden,PTree-H,0.0001,0.000908333,0.000922066,0.000736333,0.00462333,9.22566,0.562933,2.2604,15.082,0.272032,0.493538,3.08333,1.45184,3.07895,9.84492,0.202397,0.410571,2.09252,0.000584,0.002445,0.107286,0.000834667,0.008436,1.2282
Varden,PTree-Z,1.0,2.94116,2.94116,2.94116,2.94116,2.94116,0.935716,3.91949,23.4583,0.311853,1.01762,7.4631,4.24795,10.7476,27.8372,0.295442,0.498263,2.96197,0.000614,0.003067,0.164582,0.000734667,0.00908533,1.18664
Varden,PTree-Z,0.1,0.252741,0.252003,0.247985,0.255728,2.52004,0.683735,2.81685,15.868,0.311429,0.733334,6.90691,3.95246,10.077,27.1763,0.227805,0.474498,4.87569,0.000609667,0.00312033,0.165843,0.000723333,0.00895867,1.22193
Varden,PTree-Z,0.01,0.0263427,0.0267737,0.024644,0.031928,2.67742,0.938138,4.04257,22.7769,0.373672,0.538303,6.75313,4.47417,11.3057,30.5711,0.264701,0.410968,2.78883,0.000664333,0.00340733,0.166409,0.000767333,0.00895,1.25148
Varden,PTree-Z,0.001,0.003718,0.00377306,0.00323967,0.00690767,3.77356,0.892638,3.51728,18.4624,0.310871,0.62593,4.35744,4.61073,11.5583,30.2345,0.326535,0.512062,3.64475,0.000721667,0.003584,0.16958,0.000784,0.008909,1.27143
Varden,PTree-Z,0.0001,0.000860667,0.000873483,0.000662333,0.00516633,8.73982,0.929097,3.60609,20.9267,0.320852,0.854636,5.30376,4.81667,12.0095,31.4046,0.334555,0.542891,3.42714,0.000685667,0.00370867,0.17061,0.000789333,0.00894967,1.26878
Varden,CPAM-H,1.0,10.0111,10.0111,10.0111,10.0111,10.0111,0.607252,2.51532,14.5446,0.355974,0.662738,3.86198,1.66178,3.46911,9.92712,0.231339,0.464989,2.67964,0.000924667,0.00281033,0.1455,0.00108533,0.00878733,1.37618
Varden,CPAM-H,0.1,1.36039,1.33209,1.24094,1.39851,13.321,0.635271,2.41103,15.5648,0.373292,0.62054,3.96842,1.60301,3.36976,10.2762,0.249704,0.553616,3.92071,0.000803333,0.00296367,0.145066,0.00105667,0.00899033,1.38607
Varden,CPAM-H,0.01,0.100579,0.102449,0.086596,0.122412,10.245,0.605358,1.60764,11.5393,0.250484,0.48498,2.63511,1.69266,3.50282,10.6185,0.345763,0.764244,4.42418,0.000789333,0.00315533,0.152484,0.000783,0.009217,1.40782
Varden,CPAM-H,0.001,0.008387,0.00859355,0.00733833,0.0126497,8.59405,0.594307,2.1435,11.9524,0.379204,0.690378,4.01649,1.72432,3.56442,10.4066,0.249924,0.590691,3.91269,0.000850333,0.003535,0.152518,0.000838667,0.00949933,1.43775
Varden,CPAM-H,0.0001,0.001844,0.00190358,0.00151033,0.00608767,19.0408,0.698896,2.47671,15.8467,0.353543,0.592334,3.36484,1.73523,3.678,11.1451,0.260833,0.490568,2.27152,0.000866667,0.00347833,0.152405,0.000833667,0.00913333,1.445
Varden,CPAM-Z,1.0,9.66314,9.66314,9.66314,9.66314,9.66314,1.15457,4.61618,25.5401,0.3815,1.22117,8.02387,5.56885,14.016,33.914,0.377866,0.604173,3.22152,0.00273767,0.00422733,0.228763,0.000909667,0.00933867,1.41994
Varden,CPAM-Z,0.1,1.30614,1.30196,1.25716,1.35403,13.0196,0.839063,3.29811,17.6554,0.375403,0.853218,7.423,5.0921,13.25,33.2571,0.292077,0.559872,5.27864,0.000836667,0.004245,0.224176,0.000969333,0.00959867,1.43145
Varden,CPAM-Z,0.01,0.099067,0.0993979,0.0832093,0.125409,9.93984,1.15853,4.79594,25.4061,0.459967,0.633816,7.26207,5.4913,14.3263,37.4582,0.336101,0.490749,3.03245,0.000914667,0.00499933,0.23771,0.000921333,0.00976133,1.45899
Varden,CPAM-Z,0.001,0.00803867,0.0082351,0.00696533,0.0126463,8.2356,1.10306,4.03175,20.1535,0.386316,0.726363,4.71922,5.59776,14.4837,37.0533,0.410822,0.609205,3.96294,0.000951667,0.004853,0.237186,0.00100167,0.009954,1.49365
Varden,CPAM-Z,0.0001,0.00180067,0.00185324,0.00147133,0.006586,18.5374,0.93781,3.32345,19.2377,0.473702,1.07456,5.5417,5.65236,14.4324,36.7336,0.38103,0.570484,2.92404,0.000933,0.00483967,0.238622,0.000898333,0.0100073,1.49028
Varden,KdTree,1.0,6.10325,6.10325,6.10325,6.10325,6.10325,0.0517917,0.109592,0.523714,0.412386,0.632215,5.49649,0.223235,0.396668,1.29686,0.104253,0.167737,1.18663,0.000698333,0.00240833,0.0596457,0.000419667,0.00675467,1.06892
Varden,KdTree,0.1,0.979041,1.27977,0.449258,3.18654,12.7977,0.0518637,0.108846,0.526556,0.334952,0.581776,4.71233,0.232571,0.410194,1.32887,0.116582,0.187793,1.22232,0.00113033,0.002585,0.063568,0.000462667,0.006679,1.0392
Varden,KdTree,0.01,0.129943,0.252318,0.054179,1.7866,25.2318,0.0536317,0.109357,0.528704,0.326887,0.50798,3.8114,0.234721,0.412796,1.33974,0.146556,0.228692,1.6455,0.00109933,0.00264867,0.0637217,0.000433667,0.00665367,1.03039
Varden,KdTree,0.001,0.012314,0.0328621,0.00472333,1.65024,32.8626,0.056437,0.109365,0.529816,0.300549,0.478464,3.40516,0.234984,0.412928,1.33827,0.115602,0.190391,1.08342,0.00133067,0.00252967,0.063304,0.000427,0.00655233,1.02877
Varden,KdTree,0.0001,0.002714,0.00535501,0.00111167,2.33816,53.5551,0.0527987,0.108999,0.529937,0.462794,0.724764,6.0128,0.235532,0.412508,1.33441,0.144158,0.255268,1.5003,0.00152767,0.002544,0.063601,0.000418667,0.006752,1.03048
Varden,OrthTree,1.0,12.2424,12.2424,12.2424,12.2424,12.2424,0.0950533,0.154745,0.574592,0.156731,0.279296,1.05373,0.232175,0.391719,1.29865,0.097398,0.145762,0.487045,0.000594,0.003038,0.0540063,0.000798333,0.006824,1.11582
Varden,OrthTree,0.1,1.30309,1.37452,1.10983,1.80393,13.7452,0.0988447,0.156996,0.562013,0.13722,0.238634,1.1615,0.24034,0.396219,1.28553,0.109476,0.197653,1.12387,0.00058,0.00284033,0.0493807,0.000707667,0.006744,1.06666
Varden,OrthTree,0.01,0.111974,0.11469,0.091541,0.176842,11.4691,0.099861,0.158668,0.568368,0.141864,0.242434,1.18382,0.245855,0.401645,1.29974,0.112366,0.195921,1.12897,0.000580667,0.002881,0.0497753,0.000715,0.00662933,1.03342
Varden,OrthTree,0.001,0.0124757,0.0126316,0.0103827,0.020577,12.6321,0.100855,0.160039,0.566879,0.142838,0.246999,1.18459,0.246038,0.402518,1.30045,0.111001,0.198204,1.13385,0.000585333,0.00283667,0.049668,0.000767333,0.006657,1.01853
Varden,OrthTree,0.0001,0.00256767,0.00261796,0.000844333,0.00590267,26.1847,0.100157,0.160007,0.56763,0.143173,0.247087,1.19534,0.2462,0.398805,1.27492,0.110885,0.198534,1.13394,0.000579667,0.00285933,0.0499697,0.000734,0.00668667,1.00804
Uniform,PTree-H,1.0,3.34444,3.34444,3.34444,3.34444,3.34444,1.11417,1.93295,4.65735,1.12882,1.93021,4.63346,1.09103,1.92125,4.62165,1.12775,1.93013,4.61942,0.000422333,0.00375167,0.156579,0.000581333,0.009469,1.16527
Uniform,PTree-H,0.1,0.394699,0.389753,0.30684,0.449352,3.89754,1.1512,1.9538,4.62284,1.18024,1.96391,4.62704,1.14698,1.95944,4.63466,1.1844,1.97116,4.64052,0.000440667,0.00453033,0.160198,0.000565,0.00991967,1.2385
Uniform,PTree-H,0.01,0.061239,0.0599845,0.0322057,0.0793383,5.9985,1.15374,1.95792,4.65886,1.1829,1.96509,4.65966,1.15019,1.96312,4.66982,1.18751,1.97424,4.67478,0.000448,0.004843,0.163048,0.000592,0.0102957,1.2519
Uniform,PTree-H,0.001,0.0136563,0.0129608,0.00408533,0.019445,12.9613,1.14848,1.95073,4.6408,1.17755,1.95701,4.63976,1.14566,1.95453,4.65036,1.18221,1.96595,4.65778,0.000460667,0.00476167,0.162014,0.000622333,0.0101117,1.25109
