benchmark,solver,op,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Cosmo50,PTree-H,Insert,0.0001,0.000639,0.000658079,0.000453,0.00384133,6.58885,0.23334,0.491195,1.74166,0.29692,0.657211,2.21956,0.978622,2.03464,4.97956,1.01457,1.97779,4.83576,0.000888333,0.0111337,0.840013,0.000915333,0.0159957,1.94671
Cosmo50,PTree-H,Delete,0.0001,0.000914333,0.000939656,0.000559333,0.00347867,9.40153,0.234007,0.484558,1.63783,0.254661,0.566527,1.909,0.941753,1.91216,4.56242,0.981009,1.86596,4.44929,0.00083,0.010818,0.837033,0.000854,0.0161793,1.93905
Cosmo50,PTree-Z,Insert,1.0,0.836503,0.836503,0.836503,0.836503,0.836503,0.799547,2.58098,8.89871,1.65027,4.61819,11.9049,5.1681,11.5454,22.9322,5.16271,11.3507,22.6163,0.00144633,0.0133897,0.979958,0.00152533,0.0179793,1.93415
Cosmo50,PTree-Z,Insert,0.0001,0.000542667,0.000562502,0.000370667,0.00427667,5.63103,1.01399,2.7202,9.38461,1.90868,4.27091,11.676,5.58372,11.0476,23.3283,5.54499,10.7746,22.7663,0.00172633,0.017146,1.0579,0.00176833,0.021531,2.11659
Cosmo50,PTree-Z,Delete,0.0001,0.000812,0.000845766,0.000445667,0.00481633,8.46266,0.931149,2.66658,9.36897,1.69048,5.10105,13.5444,4.70305,10.7699,22.5804,4.74424,10.6985,22.4493,0.00159267,0.0162713,1.05626,0.00159367,0.0214993,2.11641
Cosmo50,CPAM-H,Insert,1.0,5.47536,5.47536,5.47536,5.47536,5.47536,0.288267,0.508722,1.52341,0.392462,0.855785,2.55974,1.28868,2.50118,5.60528,1.33202,2.43995,5.50889,0.000891667,0.0116857,1.04257,0.000972667,0.019063,2.12691
Cosmo50,CPAM-H,Insert,0.0001,0.001883,0.00195473,0.000754,0.00643367,19.5542,0.294077,0.581008,1.8631,0.387098,0.854262,2.71369,1.16734,2.41042,5.89406,1.21158,2.35117,5.75556,0.000945667,0.01279,1.05514,0.000915333,0.0196647,2.22313
Cosmo50,CPAM-H,Delete,0.0001,0.002053,0.0019841,0.000887,0.00646633,19.846,0.295592,0.592675,1.92638,0.339716,0.766101,2.44402,1.17385,2.42121,5.79166,1.22554,2.36937,5.66058,0.000915,0.013575,1.06345,0.000913667,0.020296,2.2258
Cosmo50,CPAM-Z,Insert,1.0,5.38451,5.38451,5.38451,5.38451,5.38451,1.14557,4.38678,14.5252,2.5204,7.08041,17.5639,6.89233,15.7563,31.7882,6.89929,15.534,31.3398,0.00169033,0.01932,1.29937,0.003023,0.0260597,2.33427
Cosmo50,CPAM-Z,Insert,0.0001,0.001814,0.00189785,0.000722333,0.006604,18.9854,1.26323,3.8221,12.9878,2.3925,5.42862,14.0273,6.52903,13.4595,28.6304,6.47989,13.0689,27.8207,0.001784,0.021244,1.33056,0.00171967,0.0280137,2.43578
