benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Uniform_by_x,PTree,1.0,3.08085,3.08085,3.08085,3.08085,3.08085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,PTree,0.1,0.296273,0.296191,0.292437,0.300967,2.96192,3.0264,5.75815,13.0113,1.0503,2.26836,11.7307,7.14814,12.448,25.726,1.20549,2.78391,13.0672
Uniform_by_x,PTree,0.01,0.0321717,0.0321343,0.0309087,0.0341747,3.21348,3.4594,6.6043,15.0887,1.08863,2.25952,10.8517,6.73827,11.7054,24.3598,1.21515,2.69692,12.1315
Uniform_by_x,PTree,0.001,0.006112,0.0060226,0.00423567,0.00988267,6.0231,3.46124,6.58981,15.0329,1.08713,2.2615,10.9024,6.77883,11.7003,24.177,1.22939,2.74326,12.2788
Uniform_by_x,PTree,0.0001,0.00211067,0.00201373,0.000694667,0.00498,20.1423,3.46738,6.59358,14.9526,1.06562,2.19483,10.6993,6.76087,11.6527,24.0279,1.20376,2.66298,12.0415
Uniform_by_x,KdTree,1.0,0.681798,0.681798,0.681798,0.681798,0.6818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,KdTree,0.1,0.844842,1.42202,0.0679873,5.60844,14.2202,0.1676,0.642962,2.36183,0.335869,1.94561,8.44992,0.275265,0.934197,3.12575,0.35874,1.67366,6.52916
Uniform_by_x,KdTree,0.01,0.172381,0.278312,0.00687167,5.68706,27.8313,0.168963,0.650333,2.35709,0.277443,1.70974,7.57583,0.275152,0.931741,3.11921,0.302956,1.47922,5.84005
Uniform_by_x,KdTree,0.001,0.0214043,0.0375564,0.001043,5.45716,37.5569,0.167998,0.648417,2.37375,0.195466,0.910418,3.6308,0.275869,0.935807,3.13237,0.200697,0.780604,2.85361
Uniform_by_x,KdTree,0.0001,0.00443133,0.00647396,8.1e-05,5.46703,64.7446,0.169252,0.647167,2.35926,0.120605,0.346135,1.50674,0.275273,0.934245,3.13379,0.116401,0.336281,1.56089
Uniform_by_x,OrthTree,1.0,2.30354,2.30354,2.30354,2.30354,2.30354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,OrthTree,0.1,0.439206,0.433453,0.228951,0.533464,4.33454,0.187084,0.604742,2.34238,0.377583,1.77641,7.78231,0.299605,0.857979,2.9794,0.380571,1.53033,6.11113
Uniform_by_x,OrthTree,0.01,0.0526287,0.0515961,0.02387,0.063356,5.15966,0.19486,0.635333,2.42319,0.393266,1.87418,8.09594,0.308768,0.885444,3.04512,0.397943,1.61234,6.345
Uniform_by_x,OrthTree,0.001,0.005462,0.00591459,0.00123067,0.009296,5.91508,0.200489,0.653058,2.47934,0.404229,1.94243,8.31455,0.312675,0.898381,3.07218,0.410669,1.66903,6.50361
Uniform_by_x,OrthTree,0.0001,0.00222233,0.00212529,0.000178333,0.00394833,21.2579,0.202043,0.663477,2.51005,0.410012,1.97798,8.44503,0.315009,0.893722,3.03977,0.416511,1.69811,6.59874
Varden,PTree,1.0,2.58254,2.58254,2.58254,2.58254,2.58254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,PTree,0.1,0.248266,0.246725,0.240363,0.252999,2.46725,1.03134,2.97412,12.8823,0.919801,1.1397,3.46384,9.89501,18.4699,36.8123,1.41333,3.0629,10.1255
Varden,PTree,0.01,0.0265357,0.0265275,0.0255507,0.0287113,2.6528,1.04378,3.01637,13.291,1.90411,5.2445,19.55,9.71383,18.1403,36.6891,1.96815,4.76106,15.1098
Varden,PTree,0.001,0.003397,0.00342534,0.00313433,0.00483833,3.42583,1.08766,3.23181,13.5495,2.09305,3.70356,12.5202,9.48585,17.3933,35.0851,2.14164,4.32166,13.3368
Varden,PTree,0.0001,0.000717333,0.000725018,0.000582,0.00408333,7.25517,1.12191,3.34878,13.7794,2.23938,6.33163,21.3789,9.55684,17.4045,34.8105,2.23477,5.15718,15.6351
Varden,KdTree,1.0,0.645065,0.645065,0.645065,0.645065,0.645067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,KdTree,0.1,0.980127,1.20741,0.0643807,2.63808,12.0742,0.0486213,0.157053,0.794372,0.601686,0.864948,4.46711,0.277984,0.864289,2.71725,0.719383,1.22277,4.70537
Varden,KdTree,0.01,0.118692,0.232966,0.00632033,2.59584,23.2967,0.048856,0.157569,0.794728,2.0627,3.48497,15.3918,0.27864,0.864822,2.72066,1.08626,1.89072,7.20711
Varden,KdTree,0.001,0.014097,0.0363732,0.000385,2.68622,36.3737,0.048634,0.157353,0.794068,2.61814,5.45688,22.7521,0.278321,0.862781,2.71564,1.35341,2.63389,9.65708
Varden,KdTree,0.0001,0.00367333,0.00661308,5.9e-05,2.61946,66.1358,0.048781,0.157747,0.79477,2.30215,3.68771,20.4267,0.277975,0.86121,2.70913,1.2406,2.12818,8.67167
Varden,OrthTree,1.0,1.66588,1.66588,1.66588,1.66588,1.66588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
