benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Varden,PTree-H,0.01,0.0450283,0.0439725,0.0315237,0.0569553,4.3973,0.725944,2.23143,9.87885,0.652717,1.77548,7.74795,5.28551,11.5316,28.1374,5.08524,10.58,25.9289,0.001313,0.00893,0.849271,0.001136,0.0142717,1.9817
Varden,PTree-H,0.001,0.00568133,0.00566308,0.00408233,0.00879533,5.66359,0.675842,2.4712,10.9603,0.558827,1.66282,7.42592,4.90866,10.5965,25.4132,4.73346,9.63955,23.1963,0.00100933,0.00942633,0.846363,0.001003,0.0143163,1.98685
Varden,PTree-H,0.0001,0.001055,0.00107658,0.000794667,0.00540733,10.7708,0.667313,2.51461,11.2108,0.575831,1.58897,7.12264,4.7992,10.5231,25.2599,4.6355,9.62289,23.1529,0.000991333,0.009178,0.846501,0.00104,0.0141533,1.98213
Varden,KdTree,1.0,7.03882,7.03882,7.03882,7.03882,7.03882,0.0496563,0.151562,0.785733,0.0672193,0.158965,0.84064,0.261948,0.896706,2.98564,0.439855,0.901435,2.95488,0.000750333,0.00841,0.598971,0.00104233,0.0110127,1.71948
Varden,KdTree,0.1,1.11584,1.17783,0.526784,1.75027,11.7783,0.048386,0.157514,0.794432,0.0721073,0.165426,0.840601,0.28468,0.940316,3.07207,0.469215,0.945915,3.0708,0.002763,0.009154,0.622985,0.000861,0.011374,1.69329
Varden,KdTree,0.01,0.143501,0.16331,0.0631943,0.824375,16.3311,0.0474217,0.156959,0.799589,0.0737923,0.168536,0.85554,0.286052,0.948416,3.08809,0.47896,0.959288,3.09474,0.001071,0.00848267,0.6224,0.000895333,0.0112537,1.70812
Varden,KdTree,0.001,0.016494,0.0196092,0.00519533,0.280247,19.6097,0.047472,0.158053,0.803098,0.0734517,0.170658,0.857208,0.287516,0.94971,3.09642,0.479975,0.961922,3.10311,0.000784333,0.00828,0.626604,0.00114733,0.0115277,1.69539
Varden,KdTree,0.0001,0.00271233,0.00338172,0.001356,0.714544,33.8222,0.04674,0.156789,0.803444,0.0727103,0.166537,0.848288,0.286349,0.947962,3.09049,0.479374,0.962585,3.10047,0.000795667,0.008627,0.628474,0.000911333,0.0117997,1.69835
Varden,OrthTree,1.0,7.46664,7.46664,7.46664,7.46664,7.46664,0.105855,0.256798,0.926524,0.109526,0.214443,0.944445,0.320158,0.876405,2.87039,0.447126,0.86222,2.79792,0.00129233,0.0100937,0.552413,0.000925333,0.0130143,1.82688
Varden,OrthTree,0.1,0.679334,0.67171,0.595433,0.743195,6.71711,0.111826,0.260199,0.922511,0.110912,0.220936,0.983251,0.337489,0.910974,2.92127,0.466434,0.893837,2.85982,0.00129733,0.0109377,0.57185,0.000915667,0.0123107,1.70777
