benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,S,M,L,S,M,L
Varden,KdTree,0.01,0.129943,0.252318,0.054179,1.7866,25.2318,0.0536317,0.109357,0.528704,0.326887,0.50798,3.8114,0.234721,0.412796,1.33974,0.146556,0.228692,1.6455,0.00109933,0.00264867,0.0637217,0.000433667,0.00665367,1.03039
Varden,KdTree,0.001,0.012314,0.0328621,0.00472333,1.65024,32.8626,0.056437,0.109365,0.529816,0.300549,0.478464,3.40516,0.234984,0.412928,1.33827,0.115602,0.190391,1.08342,0.00133067,0.00252967,0.063304,0.000427,0.00655233,1.02877
Varden,KdTree,0.0001,0.002714,0.00535501,0.00111167,2.33816,53.5551,0.0527987,0.108999,0.529937,0.462794,0.724764,6.0128,0.235532,0.412508,1.33441,0.144158,0.255268,1.5003,0.00152767,0.002544,0.063601,0.000418667,0.006752,1.03048
Varden,OrthTree,1.0,12.2424,12.2424,12.2424,12.2424,12.2424,0.0950533,0.154745,0.574592,0.156731,0.279296,1.05373,0.232175,0.391719,1.29865,0.097398,0.145762,0.487045,0.000594,0.003038,0.0540063,0.000798333,0.006824,1.11582
Varden,OrthTree,0.1,1.30309,1.37452,1.10983,1.80393,13.7452,0.0988447,0.156996,0.562013,0.13722,0.238634,1.1615,0.24034,0.396219,1.28553,0.109476,0.197653,1.12387,0.00058,0.00284033,0.0493807,0.000707667,0.006744,1.06666
Varden,OrthTree,0.01,0.111974,0.11469,0.091541,0.176842,11.4691,0.099861,0.158668,0.568368,0.141864,0.242434,1.18382,0.245855,0.401645,1.29974,0.112366,0.195921,1.12897,0.000580667,0.002881,0.0497753,0.000715,0.00662933,1.03342
Varden,OrthTree,0.001,0.0124757,0.0126316,0.0103827,0.020577,12.6321,0.100855,0.160039,0.566879,0.142838,0.246999,1.18459,0.246038,0.402518,1.30045,0.111001,0.198204,1.13385,0.000585333,0.00283667,0.049668,0.000767333,0.006657,1.01853
Varden,OrthTree,0.0001,0.00256767,0.00261796,0.000844333,0.00590267,26.1847,0.100157,0.160007,0.56763,0.143173,0.247087,1.19534,0.2462,0.398805,1.27492,0.110885,0.198534,1.13394,0.000579667,0.00285933,0.0499697,0.000734,0.00668667,1.00804
Uniform,PTree,1.0,3.34444,3.34444,3.34444,3.34444,3.34444,1.11417,1.93295,4.65735,1.12882,1.93021,4.63346,1.09103,1.92125,4.62165,1.12775,1.93013,4.61942,0.000422333,0.00375167,0.156579,0.000581333,0.009469,1.16527
Uniform,PTree,0.1,0.394699,0.389753,0.30684,0.449352,3.89754,1.1512,1.9538,4.62284,1.18024,1.96391,4.62704,1.14698,1.95944,4.63466,1.1844,1.97116,4.64052,0.000440667,0.00453033,0.160198,0.000565,0.00991967,1.2385
Uniform,PTree,0.01,0.061239,0.0599845,0.0322057,0.0793383,5.9985,1.15374,1.95792,4.65886,1.1829,1.96509,4.65966,1.15019,1.96312,4.66982,1.18751,1.97424,4.67478,0.000448,0.004843,0.163048,0.000592,0.0102957,1.2519
Uniform,PTree,0.001,0.0136563,0.0129608,0.00408533,0.019445,12.9613,1.14848,1.95073,4.6408,1.17755,1.95701,4.63976,1.14566,1.95453,4.65036,1.18221,1.96595,4.65778,0.000460667,0.00476167,0.162014,0.000622333,0.0101117,1.25109
Uniform,PTree,0.0001,0.00277067,0.00267655,0.000775,0.00703367,26.7705,1.15274,1.95513,4.65892,1.18361,1.96175,4.65805,1.15085,1.95935,4.66804,1.18839,1.97056,4.67521,0.000455333,0.004809,0.163445,0.00065,0.0105547,1.25097
