benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,S,M,L,S,M,L
Uniform,KdTree,1.0,3.68976,3.68976,3.68976,3.68976,3.68976,0.220615,0.398098,1.299,0.253515,0.397918,1.27788,0.221688,0.38846,1.26091,0.256728,0.395334,1.25553,0.000349667,0.00451133,0.0977693,0.000428,0.00767233,1.09078
Uniform,KdTree,0.1,0.502435,0.436786,0.0262093,0.570793,4.36786,0.229446,0.41032,1.42037,0.261184,0.411414,1.39724,0.228919,0.40019,1.37523,0.263137,0.41015,1.36836,0.000592667,0.00513433,0.101872,0.000429,0.00794633,1.06608
Uniform,KdTree,0.01,0.122637,0.111543,0.00328433,0.141671,11.1544,0.229556,0.409884,1.41956,0.259781,0.41133,1.39553,0.228852,0.399309,1.37365,0.262521,0.409475,1.36776,0.000358667,0.005629,0.103185,0.000421667,0.00814033,1.07348
Uniform,KdTree,0.001,0.0245583,0.0229674,0.000416333,0.0284533,22.9679,0.228848,0.410377,1.4209,0.260314,0.41285,1.3965,0.229254,0.400129,1.37423,0.263239,0.410793,1.36925,0.000636,0.005138,0.103298,0.000435667,0.00807667,1.06036
Uniform,KdTree,0.0001,0.00626867,0.00597923,0.000101333,0.00922867,59.7973,0.233176,0.410527,1.41987,0.260391,0.4116,1.3969,0.229341,0.400054,1.37476,0.263392,0.410177,1.36951,0.000602,0.005707,0.104003,0.000416333,0.00801633,1.07014
Uniform,OrthTree,1.0,3.33088,3.33088,3.33088,3.33088,3.33088,0.204068,0.362062,1.2223,0.229829,0.363341,1.20084,0.203394,0.353546,1.18562,0.230378,0.360601,1.17567,0.000407333,0.00486733,0.078304,0.000528333,0.00786967,1.143
Uniform,OrthTree,0.1,0.509612,0.432335,0.0789137,0.520912,4.32335,0.211469,0.392882,1.50455,0.237793,0.396199,1.48382,0.211159,0.383121,1.46323,0.241468,0.393802,1.45577,0.000425333,0.00601,0.0866773,0.000487667,0.009326,1.17988
Uniform,OrthTree,0.01,0.117498,0.102417,0.008318,0.127389,10.2417,0.211683,0.394084,1.50882,0.238593,0.396409,1.48723,0.211625,0.384291,1.46742,0.241798,0.394677,1.45908,0.000409,0.00606,0.0878637,0.000503667,0.00923367,1.178
Uniform,OrthTree,0.001,0.0215703,0.019564,0.000483,0.0260057,19.5645,0.211809,0.394366,1.51045,0.240568,0.396991,1.48938,0.21379,0.384762,1.46867,0.241897,0.395579,1.46093,0.000410667,0.006269,0.0878913,0.000501,0.00930367,1.17607
Uniform,OrthTree,0.0001,0.003178,0.00298627,8.43333e-05,0.00684,29.8677,0.211728,0.39441,1.51108,0.239191,0.397254,1.48989,0.212219,0.384691,1.46959,0.241972,0.39561,1.46149,0.000424,0.00604833,0.088525,0.000508333,0.00914933,1.17662
