solver,benchType,nodes,dims,L,vis,gen,full,skip
kdtree,ss_varden,1000M,2,0.01343,365.5,254.0,26.5,117.0
orth,ss_varden,1000M,2,0.0124,488.5,343.0,42.0,156.0
kdtree,uniform,1000M,2,0.01873,547.0,377.5,25.5,183.5
orth,uniform,1000M,2,0.01777,632.0,419.5,31.5,174.5
kdtree,ss_varden,1000M,3,0.06609,1112.0,727.0,17.5,325.0
orth,ss_varden,1000M,3,0.07595,1966.5,1284.0,52.5,549.5
kdtree,uniform,1000M,3,0.05788,997.5,642.5,17.5,270.0
orth,uniform,1000M,3,0.0706,2130.5,1378.0,67.5,558.0
