benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Uniform,PTree,0.1,0.473072,0.468123,0.375258,0.53673,4.68123,6.26522,10.3899,21.0671,6.56915,10.4105,21.0824,6.28642,10.3986,21.0888,6.58846,10.4281,21.0787
Uniform,PTree,0.01,0.0706827,0.0701305,0.041044,0.0878877,7.0131,6.27054,10.3822,21.0813,6.58696,10.4229,21.0895,6.29736,10.3979,21.0873,6.60241,10.4353,21.0952
Uniform,PTree,0.001,0.015299,0.0145385,0.005039,0.019992,14.539,6.24308,10.3427,21.0038,6.55761,10.3739,21.0057,6.26748,10.3471,21.0095,6.57586,10.391,21.033
Uniform,PTree,0.0001,0.003003,0.00289418,0.000887333,0.00647367,28.9468,6.18443,10.2659,20.7809,6.49872,10.296,20.7817,6.20843,10.2692,20.7773,6.52024,10.3154,20.7999
Uniform,KdTree,1.0,4.62416,4.62416,4.62416,4.62416,4.62416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,KdTree,0.1,0.584391,0.564604,0.380962,0.751327,5.64605,0.276478,0.952014,3.17006,0.452225,0.926882,3.05464,0.271886,0.8736,2.97949,0.447897,0.892568,2.9447
Uniform,KdTree,0.01,0.143685,0.132991,0.044295,0.173632,13.2992,0.276675,0.972875,3.19374,0.455005,0.93031,3.06267,0.273648,0.878477,2.98487,0.451093,0.899446,2.94924
Uniform,KdTree,0.001,0.0256367,0.0243315,0.0044,0.0300473,24.332,0.277402,0.97473,3.19756,0.4573,0.930528,3.06429,0.274805,0.879899,2.98599,0.453075,0.901318,2.95177
Uniform,KdTree,0.0001,0.00367967,0.00363902,0.000839667,0.00780833,36.3951,0.276728,0.974733,3.19665,0.457374,0.930975,3.0656,0.277348,0.88109,2.98608,0.454085,0.902521,2.9534
Uniform,OrthTree,1.0,4.64036,4.64036,4.64036,4.64036,4.64036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,OrthTree,0.1,0.631188,0.569359,0.37938,0.719096,5.69359,0.326503,0.951741,3.1323,0.493038,0.931438,3.02191,0.324889,0.897372,2.95521,0.497735,0.923392,2.92463
Uniform,OrthTree,0.01,0.149071,0.124887,0.0412387,0.161578,12.4887,0.33388,0.978392,3.21515,0.503313,0.954681,3.09795,0.330078,0.918119,3.02625,0.507089,0.942889,2.99087
Uniform,OrthTree,0.001,0.0274153,0.0241512,0.00436667,0.03107,24.1518,0.334427,0.980035,3.24038,0.505559,0.959025,3.10797,0.331659,0.921974,3.0369,0.508908,0.94822,3.00247
Uniform,OrthTree,0.0001,0.00384467,0.00352884,0.000662333,0.00653,35.2934,0.33615,0.980726,3.2289,0.506059,0.96023,3.11054,0.331966,0.923813,3.03965,0.509896,0.949073,3.00547
