1.in 7.3659 25.5182 alpha: 48
distance ratio: 0
input box: (1, 0, 0, )  (100000, 100000, 100000, ) 
query box: (1, 0, 0, )  (100000, 100000, 100000, ) 
730000000 731000000 0.014498 73 32.0536 0.014332 45 0.022788 55 0.119664 129 
740000000 741000000 0.015062 73 32.0893 0.014389 45 0.022849 55 0.119617 129 
750000000 751000000 0.014262 73 32.1151 0.014355 45 0.022789 55 0.119019 129 
760000000 761000000 0.015406 73 32.1528 0.014332 45 0.022693 55 0.119279 128 
770000000 771000000 0.011981 73 32.196 0.014352 45 0.022751 55 0.118997 128 
780000000 781000000 0.013803 73 32.2177 0.01438 45 0.022731 55 0.118953 128 
790000000 791000000 0.014995 73 32.2399 0.014345 45 0.022654 55 0.118752 128 
800000000 801000000 0.015099 73 32.2553 0.014365 45 0.022654 55 0.118968 128 
810000000 811000000 0.011288 73 32.2756 0.01429 45 0.022616 55 0.118729 128 
820000000 821000000 0.01725 73 32.3026 0.014316 45 0.022691 55 0.118785 128 
830000000 831000000 0.016119 73 32.3291 0.014293 45 0.02265 55 0.118988 128 
840000000 841000000 0.014079 73 32.3599 0.014359 45 0.022674 55 0.118612 128 
850000000 851000000 0.017381 73 32.3847 0.014352 45 0.022657 55 0.118986 128 
860000000 861000000 0.020035 73 32.4217 0.014359 45 0.02272 55 0.118787 128 
870000000 871000000 0.01772 73 32.4508 0.014358 45 0.022578 55 0.118624 127 
880000000 881000000 0.017739 73 32.4732 0.014346 45 0.022597 55 0.118427 127 
890000000 891000000 0.014564 73 32.4956 0.014407 45 0.022612 55 0.118651 127 
900000000 901000000 0.018441 73 32.5172 0.014427 45 0.022655 55 0.118234 127 
910000000 911000000 0.016686 73 32.552 0.014404 45 0.022614 55 0.117869 127 
920000000 921000000 0.020627 73 32.5763 0.014412 45 0.022626 54 0.117818 126 
930000000 931000000 0.015119 73 32.6035 0.014416 45 0.022629 54 0.117669 126 
940000000 941000000 0.016347 73 32.6269 0.01444 45 0.022643 54 0.1176 126 
950000000 951000000 0.017131 74 32.6393 0.014469 45 0.022707 54 0.117776 126 
960000000 961000000 0.01587 74 32.6611 0.014406 45 0.022621 55 0.117335 126 
970000000 971000000 0.021169 74 32.7101 0.014439 45 0.02265 54 0.117527 126 
980000000 981000000 0.015385 74 32.748 0.014461 45 0.02266 54 0.117321 126 
990000000 991000000 0.016355 74 32.767 0.014455 45 0.022658 54 0.117558 126 
distance ratio: 10
input box: (1, 0, 0, )  (100000, 100000, 100000, ) 
query box: (999991, 1000000, 1000000, )  (1099990, 1100000, 1100000, ) 
0 1000000 0.004458 17 15.5325 0.12316 316 0.130742 327 0.295775 422 
10000000 11000000 0.011646 42 25.3744 1.74562 3164 1.81785 3203 2.11935 3357 
20000000 21000000 0.018212 48 25.6339 3.27229 5289 3.39962 5371 3.87947 5667 
30000000 31000000 0.009647 48 25.7747 4.06496 6469 4.21398 6545 4.75185 6875 
40000000 41000000 0.014166 48 26.0207 4.05789 6469 4.2178 6545 4.7516 6875 
50000000 51000000 0.019748 49 26.6145 4.05326 6469 4.22332 6545 4.75678 6875 
60000000 61000000 0.014418 49 27.4944 4.05118 6469 4.22784 6545 4.76453 6875 
70000000 71000000 0.020032 49 27.6563 0.061352 177 0.063568 177 0.186422 297 
80000000 81000000 0.022202 51 27.9454 0.061064 177 0.063707 177 0.186448 297 
90000000 91000000 0.019605 51 28.4109 0.06293 185 0.06543 185 0.188623 305 
100000000 101000000 0.013782 53 28.9215 0.010028 45 0.014351 56 0.048593 108 
110000000 111000000 0.028195 56 29.3897 0.010442 40 0.013152 44 0.049931 99 
120000000 121000000 0.039023 64 29.7059 0.010474 40 0.013298 44 0.049763 99 
130000000 131000000 0.012411 64 30.0496 0.010352 40 0.01328 44 0.049888 99 
140000000 141000000 0.133468 58 28.2994 0.010388 40 0.013193 44 0.049777 99 
150000000 151000000 0.017392 58 28.422 0.010361 40 0.013176 44 0.04982 99 
160000000 161000000 0.015097 62 28.7449 0.010398 40 0.013124 44 0.049656 99 
170000000 171000000 0.017909 58 28.8613 0.010398 40 0.013204 44 0.049859 99 
180000000 181000000 0.014405 58 28.9279 0.010371 40 0.013162 44 0.049642 99 
190000000 191000000 0.017421 58 29.1164 0.010358 40 0.013172 44 0.049988 99 
200000000 201000000 0.015679 59 29.3127 0.010379 40 0.013252 44 0.049734 99 
210000000 211000000 0.017715 60 29.5434 0.010387 40 0.013197 44 0.049973 99 
220000000 221000000 0.023143 63 29.8285 0.010381 40 0.013145 44 0.049805 99 
230000000 231000000 0.018998 63 30.0145 0.010368 40 0.013164 44 0.049538 99 
240000000 241000000 0.012233 63 30.0756 0.010449 40 0.013134 44 0.049383 99 
250000000 251000000 0.01862 63 30.2447 0.010418 40 0.01323 44 0.050453 100 
260000000 261000000 0.015545 63 30.3466 0.010405 40 0.013255 44 0.049885 100 
270000000 271000000 0.028244 63 29.875 0.010395 40 0.012899 45 0.050674 102 
280000000 281000000 0.013475 65 29.9984 0.010433 40 0.012851 45 0.050671 102 
290000000 291000000 0.015062 65 30.1053 0.010439 40 0.012903 45 0.050769 102 
300000000 301000000 0.014962 67 30.1747 0.010417 40 0.012853 45 0.050745 102 
310000000 311000000 0.01645 67 30.2401 0.010417 40 0.012916 45 0.050684 102 
320000000 321000000 0.015891 67 30.3111 0.010385 40 0.012809 45 0.050826 102 
330000000 331000000 0.009724 69 30.4143 0.010445 40 0.012894 45 0.050833 102 
340000000 341000000 0.014699 69 30.4997 0.010432 40 0.012824 45 0.050675 102 
350000000 351000000 0.01473 69 30.5902 0.010443 40 0.012877 45 0.050556 102 
360000000 361000000 0.014683 70 30.666 0.01047 40 0.012963 45 0.050453 102 
370000000 371000000 0.013857 70 30.8028 0.010423 40 0.01287 45 0.050985 102 
380000000 381000000 0.016145 70 30.8982 0.010413 40 0.012859 45 0.050654 102 
390000000 391000000 0.012737 70 30.9397 0.010426 40 0.012922 45 0.050529 102 
400000000 401000000 0.015542 70 31.0131 0.010403 40 0.01284 45 0.050727 102 
410000000 411000000 0.015683 70 31.0356 0.010427 40 0.012854 45 0.050952 102 
420000000 421000000 0.01384 70 31.0658 0.010458 40 0.012885 45 0.051059 102 
430000000 431000000 0.017819 70 31.1384 0.010406 40 0.012833 45 0.050917 102 
440000000 441000000 0.014428 70 31.2148 0.010465 40 0.012924 45 0.050702 102 
450000000 451000000 0.014449 70 31.2557 0.010471 40 0.012894 45 0.050808 102 
460000000 461000000 0.014533 71 31.3057 0.010477 40 0.01289 45 0.050951 102 
470000000 471000000 0.013929 72 31.3549 0.01053 40 0.012905 45 0.050764 102 
480000000 481000000 0.01355 72 31.4267 0.010457 40 0.0129 45 0.050685 102 
490000000 491000000 0.012994 72 31.2208 0.010485 40 0.012866 45 0.051065 102 
500000000 501000000 0.01449 72 31.2884 0.01047 40 0.012884 45 0.050804 102 
510000000 511000000 0.011944 72 31.3343 0.010584 40 0.012915 45 0.050743 102 
520000000 521000000 0.017768 72 31.4057 0.010449 40 0.012945 45 0.050566 102 
530000000 531000000 0.01668 72 31.4399 0.010464 40 0.012908 45 0.050795 102 
540000000 541000000 0.012523 72 31.4755 0.010484 40 0.012946 45 0.050865 102 
550000000 551000000 0.012187 73 31.5121 0.010519 40 0.012849 45 0.050897 102 
560000000 561000000 0.012466 73 31.5485 0.010475 40 0.012893 45 0.050459 102 
570000000 571000000 0.012681 73 31.5915 0.010447 40 0.012955 45 0.050645 102 
580000000 581000000 0.0139 73 31.6111 0.010479 40 0.012918 45 0.050781 102 
590000000 591000000 0.012834 73 31.6399 0.010447 40 0.012929 45 0.050804 102 
600000000 601000000 0.011782 73 31.6984 0.010476 40 0.012897 45 0.050763 102 
610000000 611000000 0.015183 73 31.6964 0.010547 40 0.012916 45 0.050566 102 
620000000 621000000 0.013141 73 31.6379 0.010495 40 0.01298 45 0.050777 102 
630000000 631000000 0.016503 73 31.6933 0.0105 40 0.012898 45 0.050706 102 
640000000 641000000 0.017461 73 31.7281 0.010495 40 0.012925 45 0.050794 102 
650000000 651000000 0.018101 73 31.7622 0.010447 40 0.012877 45 0.050501 102 
660000000 661000000 0.014689 73 31.7958 0.010442 40 0.012919 45 0.050738 102 
670000000 671000000 0.015977 73 31.8386 0.010482 40 0.012792 45 0.050622 102 
680000000 681000000 0.012697 73 31.8789 0.010472 40 0.012839 45 0.050732 102 
690000000 691000000 0.02148 73 31.924 0.010486 40 0.012864 45 0.050623 102 
700000000 701000000 0.017823 73 31.9671 0.010466 40 0.012923 45 0.050966 102 
710000000 711000000 0.017552 73 32.0053 0.010514 40 0.012886 45 0.050544 102 
720000000 721000000 0.015144 73 32.0261 0.010446 40 0.012808 45 0.051172 102 
730000000 731000000 0.015133 73 32.0536 0.010476 40 0.012826 45 0.050553 102 
740000000 741000000 0.01573 73 32.0893 0.010472 40 0.012865 45 0.050615 102 
750000000 751000000 0.014729 73 32.1151 0.010537 40 0.012967 45 0.050788 102 
760000000 761000000 0.016691 73 32.1528 0.01044 40 0.012834 45 0.050654 102 
770000000 771000000 0.015094 73 32.196 0.010494 40 0.012971 45 0.050632 102 
780000000 781000000 0.015278 73 32.2177 0.010448 40 0.012952 45 0.050508 102 
790000000 791000000 0.015605 73 32.2399 0.010447 40 0.012904 45 0.050602 102 
800000000 801000000 0.01729 73 32.2553 0.010466 40 0.012912 45 0.050812 102 
810000000 811000000 0.01305 73 32.2756 0.01048 40 0.012941 45 0.050716 102 
