solver,benchType,nodes,dims,0.1M,0.2M,0.5M,1M,2M,5M,10M,20M,50M,100M,200M,500M,1000M
test,ss_varden,1000000000,3,0.00623,0.01079,0.01148,0.01801,0.02526,0.0587,0.10635,0.20451,0.42765,0.76232,1.3665,3.14004,4.60947
zdtree,ss_varden,1000000000,3,0.10711,0.10733,0.10948,0.11168,0.11513,0.1249,0.14145,0.17687,0.33667,0.58056,1.09247,3.03674,3.9657
cgal,ss_varden,1000000000,3,0.03343,0.06509,0.17545,0.38195,0.83175,2.57385,4.80706,21.5021,75.6082,183.52,320.936,943.821,1501.71
test,uniform,1000000000,3,0.00539,0.00681,0.01412,0.02506,0.04238,0.08471,0.13645,0.21818,0.39585,0.60517,0.97539,2.15997,4.1309
zdtree,uniform,1000000000,3,0.10827,0.11748,0.12882,0.15024,0.18773,0.28922,0.42652,0.64798,1.10162,1.48937,1.96986,3.55026,4.06456
cgal,uniform,1000000000,3,0.34736,0.72534,1.92624,3.84121,8.00549,19.4202,41.4428,80.3991,204.724,416.466,828.961,2030.38,3793.05
