benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Varden,PTree,0.1,0.427442,0.406777,0.239639,0.520272,4.06777,0.403193,0.829717,3.1285,0.75117,1.25036,3.87718,2.00745,3.07132,6.41136,2.00321,3.01221,6.24273
Varden,PTree,0.01,0.0816193,0.0807577,0.0258023,0.133572,8.07582,0.386154,0.81693,3.14038,0.731473,1.21894,3.79892,1.98754,3.04579,6.36096,1.98977,2.99937,6.22427
Varden,PTree,0.001,0.0113097,0.0117556,0.00318433,0.0203047,11.7562,0.383305,0.810662,3.11858,0.731819,1.21857,3.79629,1.98087,3.03258,6.3305,1.97843,2.98027,6.18311
Varden,PTree,0.0001,0.00184,0.00182402,0.000561667,0.003401,18.2452,0.401731,0.828847,3.10293,0.747095,1.2433,3.84204,2.00179,3.05679,6.38087,2.00126,3.00622,6.23831
Uniform_by_x,PTree,1.0,2.5126,2.5126,2.5126,2.5126,2.5126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,PTree,0.1,0.234684,0.23407,0.231961,0.235691,2.3407,0.721934,1.26281,3.71907,0.30235,0.853706,3.50945,1.95514,3.13589,7.16264,0.318606,0.875191,3.63566
Uniform_by_x,PTree,0.01,0.0250863,0.0252517,0.0246213,0.02735,2.52522,0.73062,1.17856,3.04176,0.300344,0.83069,3.29643,1.86845,2.90345,6.44325,0.309649,0.844417,3.42582
Uniform_by_x,PTree,0.001,0.003204,0.00324613,0.00294667,0.004566,3.24663,0.734623,1.21927,3.14944,0.314824,0.879265,3.60622,1.93492,3.00144,6.62872,0.32092,0.877242,3.61995
Uniform_by_x,PTree,0.0001,0.000831667,0.00083395,0.000571333,0.00151267,8.34449,0.76463,1.23808,3.13862,0.322394,0.893231,3.53414,1.93897,3.03882,6.8929,0.325475,0.893,3.60058
Uniform,PTree,1.0,2.71694,2.71694,2.71694,2.71694,2.71695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,PTree,0.1,0.495221,0.465748,0.268399,0.642222,4.65748,1.9076,2.818,5.63183,1.95656,2.83586,5.64478,1.91999,2.8357,5.65084,1.97183,2.85031,5.66507
Uniform,PTree,0.01,0.154614,0.143189,0.0280783,0.204183,14.319,1.90473,2.81882,5.62764,1.95415,2.83854,5.64382,1.91656,2.83759,5.66494,1.96957,2.85284,5.66516
Uniform,PTree,0.001,0.0292397,0.027654,0.00367267,0.034341,27.6545,1.90286,2.81743,5.62445,1.95266,2.83936,5.6407,1.91532,2.83654,5.65039,1.96843,2.85247,5.6657
Uniform,PTree,0.0001,0.00430567,0.00421646,0.000563,0.00622133,42.1696,1.90002,2.8181,5.62301,1.95172,2.8384,5.64291,1.91472,2.83753,5.65179,1.96782,2.85157,5.66492
