benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Uniform_by_x,KdTree,0.01,0.22634,0.235603,0.0400357,0.570102,23.5604,0.123436,0.262105,1.02458,0.123975,0.510279,2.32061,0.234945,0.414697,1.34194,0.123958,0.446516,1.95975
Uniform_by_x,KdTree,0.001,0.0360413,0.0355691,0.00410867,0.057778,35.5696,0.134338,0.275676,1.0477,0.149058,0.733474,3.00211,0.233647,0.418371,1.35634,0.151064,0.626618,2.49082
Uniform_by_x,KdTree,0.0001,0.004179,0.00428257,0.000758,0.00970733,42.8307,0.149633,0.333412,1.40805,0.155518,1.63139,8.63656,0.235339,0.489127,1.7764,0.16219,1.49977,7.06118
Uniform_by_x,OrthTree,1.0,4.56564,4.56564,4.56564,4.56564,4.56564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,OrthTree,0.1,0.609327,0.580167,0.453949,0.64614,5.80168,0.111183,0.221959,1.0034,0.0584617,0.10659,1.3061,0.203653,0.359476,1.34124,0.0608107,0.115009,1.35705
Uniform_by_x,OrthTree,0.01,0.056231,0.0564512,0.044429,0.0710137,5.64517,0.113889,0.227363,0.993695,0.0610327,0.108757,1.3248,0.206103,0.362917,1.35118,0.060545,0.117448,1.38921
Uniform_by_x,OrthTree,0.001,0.00570267,0.0058005,0.00458367,0.0114817,5.80099,0.114126,0.229149,0.993512,0.0602917,0.109385,1.33342,0.208593,0.365944,1.35754,0.0606907,0.118178,1.39103
Uniform_by_x,OrthTree,0.0001,0.000927,0.000937123,0.000704,0.001991,9.37623,0.115572,0.228936,1.01404,0.060396,0.109675,1.33466,0.20535,0.359104,1.31359,0.0608017,0.118717,1.40461
Uniform_by_x,PTree,1.0,3.30033,3.30033,3.30033,3.30033,3.30033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,PTree,0.1,0.29805,0.297211,0.293223,0.299258,2.97211,0.60739,1.01393,2.74791,0.258552,0.727882,3.43334,1.78186,2.82086,6.30205,0.259946,0.733496,3.42375
Uniform_by_x,PTree,0.01,0.0306787,0.0307874,0.030072,0.0330573,3.07879,0.756245,1.13673,2.76587,0.256009,0.695749,3.06091,1.7222,2.70865,6.23311,0.26144,0.690456,3.04563
Uniform_by_x,PTree,0.001,0.00405333,0.00409147,0.00381767,0.005087,4.09198,0.671453,1.06265,2.67583,0.272981,0.70271,3.33521,1.79547,2.81306,6.4491,0.281192,0.692235,3.30908
Uniform_by_x,PTree,0.0001,0.000881333,0.00089535,0.000766333,0.00298,8.9585,0.783467,1.25341,3.29121,0.451424,0.970526,5.03917,2.10883,3.80836,12.4003,0.49524,0.956704,5.50706
