ts,id,lon,lat
2014-06-24 17:45:08,2931378847,-55.3727474,-61.1616131
2014-06-24 17:45:13,2931397018,-54.9319058,-61.1643347
2014-06-24 17:45:15,2931348140,-54.8449131,-61.1644481
2014-06-24 17:45:18,2931410301,-54.7995358,-61.1653552
2014-06-24 17:45:21,2931397218,-54.9718755,-61.165582
2014-06-24 17:45:25,2931378848,-55.4155384,-61.1695505
2014-06-24 17:45:43,2931408105,-55.3981399,-61.173405
2014-06-24 17:45:46,2931397019,-55.4298804,-61.1737451
2014-06-24 17:45:49,2931412501,-55.4178896,-61.1765791
2014-06-24 17:46:19,2931397020,-55.4329369,-61.1795261
2014-06-24 17:46:34,2931377894,-55.4484546,-61.1822461
2014-06-24 17:46:36,2931378849,-55.4190651,-61.1832661
2014-06-24 17:46:40,2931410302,-55.4531569,-61.1836061
2014-06-24 17:47:02,2931374510,-55.43905,-61.1856459
2014-06-24 17:47:05,2931379281,-55.4073094,-61.1891586
2014-06-24 17:47:09,2931402627,-55.4484546,-61.1898385
2014-06-24 17:47:11,2931397021,-55.4329369,-61.1916513
2014-06-24 17:47:14,2931417001,-55.4578592,-61.192331
2014-06-24 17:47:17,2931407604,-55.4251781,-61.1948234
2014-06-24 17:47:20,2931417401,-55.3941429,-61.1985617
2014-06-24 17:47:23,2931348141,-55.4343476,-61.2035453
2014-06-24 17:47:25,2931397022,-55.4131872,-61.2052441
2014-06-24 17:47:28,2931379282,-55.4378744,-61.2089811
2014-06-24 17:47:30,2931379283,-55.4308209,-61.2098869
2014-06-24 17:47:33,2931402628,-55.3833276,-61.2101134
2014-06-24 17:47:35,2931418101,-54.9126264,-61.2102266
2014-06-24 17:47:37,2931397023,-55.3995505,-61.2136234
2014-06-24 17:47:40,2931386434,-55.4230621,-61.2181518
2014-06-24 17:48:04,2931348142,-55.4430469,-61.2201894
2014-06-24 17:48:29,2931417402,-55.3915566,-61.2203026
2014-06-24 17:48:31,2931402629,-55.4639722,-61.2251696
2014-06-24 17:48:34,2931412502,-55.41883,-61.2275462
2014-06-24 17:48:36,2931408502,-55.3772146,-61.2285647
2014-06-24 17:48:39,2931410303,-55.3687504,-61.2313937
2014-06-24 17:48:42,2931410304,-55.4881891,-61.2343356
2014-06-24 17:48:46,2931348143,-55.3656939,-61.2356933
2014-06-24 17:48:48,2931418102,-55.3929673,-61.2372772
2014-06-24 17:48:50,2931417002,-55.36781,-61.2381823
2014-06-24 17:49:07,2931412503,-55.4082498,-61.2422547
2014-06-24 17:49:11,2931420101,-55.3793306,-61.2442907
2014-06-24 17:49:13,2931348144,-55.353703,-61.2466659
2014-06-24 17:49:16,2931397024,-55.3351289,-61.2487016
2014-06-24 17:49:21,2931397025,-55.3355991,-61.2580869
2014-06-24 17:49:24,2931417403,-55.1404533,-61.2588783
2014-06-24 17:49:26,2931397026,-55.3019776,-61.2622698
2014-06-24 17:49:28,2931397027,-55.2909272,-61.2675824
2014-06-24 17:49:46,2931397028,-55.2004077,-61.2754931
2014-06-24 17:49:48,2931421001,-55.1893573,-61.2797867
2014-06-24 17:49:51,2931417404,-55.2650645,-61.2820462
2014-06-24 17:49:55,2931378850,-55.2401422,-61.2902922
2014-06-24 17:49:57,2931410305,-55.1966459,-61.2931156
2014-06-24 17:50:00,2931412504,-55.5901148,-61.4596853
2014-06-24 17:50:04,2931410306,-57.7186446,-61.866649
2014-06-24 17:50:07,2931348145,-57.7096877,-61.8728723
2014-06-24 17:50:10,2931412505,-57.7294871,-61.8737613
2014-06-24 17:50:14,2931412506,-57.6993167,-61.8764279
2014-06-24 17:50:16,2931412507,-57.7087449,-61.8773168
2014-06-24 17:50:19,2931397029,-57.6964882,-61.8813162
2014-06-24 17:50:21,2931408106,-57.7068593,-61.8817606
2014-06-24 17:50:25,2931378851,-57.6979024,-61.8862037
2014-06-24 17:50:42,2931410307,-57.7021451,-61.8886472
2014-06-24 17:51:06,2931421002,-57.6630178,-61.8944218
2014-06-24 17:51:08,2931420102,-57.6649035,-61.8966426
2014-06-24 17:51:11,2931378852,-57.7106306,-61.9013056
2014-06-24 17:51:27,2931378853,-57.7087449,-61.9037478
2014-06-24 17:51:46,2931412508,-57.6592465,-61.9041919
2014-06-24 17:51:49,2931397030,-57.6512325,-61.9055239
2014-06-24 17:51:51,2931378854,-57.697431,-61.9101856
2014-06-24 17:52:09,2931378855,-57.7257158,-61.9104075
2014-06-24 17:52:11,2931410308,-57.7021451,-61.9119613
2014-06-24 17:52:14,2931348146,-57.6300189,-61.9175096
2014-06-24 17:52:16,2931378856,-57.6413328,-61.943906
2014-06-24 17:52:19,2931397031,-57.3928981,-61.9547685
2014-06-24 17:52:21,2931348147,-57.4145831,-61.9558767
2014-06-24 17:52:24,2931420103,-57.6413328,-61.9572064
2014-06-24 17:52:26,2931410309,-57.4164687,-61.9678426
2014-06-24 17:52:29,2931397032,-57.3976122,-61.9691719
2014-06-24 17:52:31,2931410310,-57.5393897,-62.0025506
2014-06-24 17:52:38,2931420104,-57.5433967,-62.0083038
2014-06-24 17:52:40,2931397033,-57.6168193,-62.0119543
2014-06-24 17:52:43,2931420105,-57.5943094,-62.0137794
2014-06-24 17:52:46,2931410311,-57.6097481,-62.0163232
2014-06-24 17:52:49,2931410312,-57.6165836,-62.0163232
2014-06-24 17:52:54,2931417003,-57.5981985,-62.0164891
2014-06-24 17:52:57,2931420106,-57.5788706,-62.0179269
2014-06-24 17:53:00,2931422801,-57.6024412,-62.0185904
2014-06-24 17:53:02,2931378857,-57.5858239,-62.0188669
2014-06-24 17:53:05,2931410313,-57.5934844,-62.0198069
2014-06-24 17:53:08,2931397034,-57.6031484,-62.0201939
2014-06-24 17:53:11,2931420107,-57.5778099,-62.0251698
2014-06-24 17:53:13,2931397035,-57.6253048,-62.0292605
2014-06-24 17:53:16,2931422802,-57.6350866,-62.030366
2014-06-24 17:53:19,2931420111,-57.5630782,-62.0305871
2014-06-24 17:53:22,2931412510,-57.6105731,-62.0315267
2014-06-24 17:53:24,2931412511,-57.5940737,-62.0317478
2014-06-24 17:53:29,2931348154,-57.6052697,-62.0321899
2014-06-24 17:53:31,2931408111,-57.6011449,-62.0331848
2014-06-24 17:53:33,2931410320,-57.8607757,-62.0514732
2014-06-24 17:53:43,2931422808,-57.8646648,-62.0534616
2014-06-24 17:53:46,2931397225,-57.9113347,-62.0671007
2014-06-24 17:53:48,2931412515,-58.3908211,-62.0677081
2014-06-24 17:53:50,2931420119,-57.9043814,-62.0696401
2014-06-24 17:53:53,2931412518,-57.9109812,-62.0719033
2014-06-24 17:53:56,2931420120,-58.3703207,-62.0725482
2014-06-24 17:53:58,2931422813,-58.3787375,-62.0727824
2014-06-24 17:54:00,2931408116,-58.3775709,-62.0732117
2014-06-24 17:54:08,2931379284,-58.3332784,-62.0748509
2014-06-24 17:54:10,2931420122,-58.3717791,-62.0756119
2014-06-24 17:54:13,2931422814,-58.2904026,-62.07569
2014-06-24 17:54:15,2931379285,-58.4510951,-62.0758273
2014-06-24 17:54:18,2931412519,-57.9046171,-62.0761533
2014-06-24 17:54:20,2931410327,-58.4580484,-62.0774278
2014-06-24 17:54:22,2931408117,-57.9114526,-62.0780297
2014-06-24 17:54:24,2931379286,-58.3926128,-62.0784607
2014-06-24 17:54:32,2931410328,-58.3921545,-62.0792997
2014-06-24 17:54:41,2931377895,-58.3916961,-62.0797484
2014-06-24 17:54:43,2931412520,-58.3574038,-62.0797874
2014-06-24 17:54:45,2931418103,-58.3565705,-62.0810361
2014-06-24 17:54:47,2931417008,-58.4466756,-62.08107
2014-06-24 17:54:49,2931422815,-58.4272887,-62.0813183
2014-06-24 17:55:01,2931417009,-58.3552788,-62.0819725
2014-06-24 17:55:06,2931378858,-58.3541538,-62.0822261
2014-06-24 17:55:08,2931379287,-58.3561121,-62.0823432
2014-06-24 17:55:10,2931374515,-58.387946,-62.0824993
2014-06-24 17:55:13,2931374516,-58.3932378,-62.0826163
2014-06-24 17:55:16,2931377896,-58.385946,-62.083026
2014-06-24 17:55:18,2931374517,-58.3441119,-62.0832211
2014-06-24 17:55:20,2931378859,-58.388321,-62.0833966
2014-06-24 17:55:22,2931420123,-58.3456953,-62.0834357
2014-06-24 17:55:32,2931417010,-58.3526954,-62.0835332
